4294A REV1.11
"DATE:      6 -100"


"MEASURE PARAMETER: IMPEDANCE MAG PHASE (DEG)"
"ADAPTER: NONE"
"SWEEP TYPE: LIN FREQ"
"NUMBER of POINTS: 201"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  300 mVolt"
"DC BIAS:  1 Volt"
"BW: 2"
"SWEEP AVERAGING: OFF"
"POINT AVERAGING: OFF"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
4.00000000000e+01	1.414967e+03	0.000000e+00
5.39800000000e+02	1.150146e+02	0.000000e+00
1.03960000000e+03	6.159169e+01	0.000000e+00
1.53940000000e+03	4.249183e+01	0.000000e+00
2.03920000000e+03	3.263071e+01	0.000000e+00
2.53900000000e+03	2.657868e+01	0.000000e+00
3.03880000000e+03	2.249362e+01	0.000000e+00
3.53860000000e+03	1.952301e+01	0.000000e+00
4.03840000000e+03	1.728376e+01	0.000000e+00
4.53820000000e+03	1.550937e+01	0.000000e+00
5.03800000000e+03	1.407792e+01	0.000000e+00
5.53780000000e+03	1.290060e+01	0.000000e+00
6.03760000000e+03	1.191911e+01	0.000000e+00
6.53740000000e+03	1.107832e+01	0.000000e+00
7.03720000000e+03	1.034642e+01	0.000000e+00
7.53700000000e+03	9.723620e+00	0.000000e+00
8.03680000000e+03	9.167562e+00	0.000000e+00
8.53660000000e+03	8.676386e+00	0.000000e+00
9.03640000000e+03	8.229178e+00	0.000000e+00
9.53620000000e+03	7.838754e+00	0.000000e+00
1.00360000000e+04	7.479484e+00	0.000000e+00
1.05358000000e+04	7.157486e+00	0.000000e+00
1.10356000000e+04	6.860736e+00	0.000000e+00
1.15354000000e+04	6.593404e+00	0.000000e+00
1.20352000000e+04	6.345504e+00	0.000000e+00
1.25350000000e+04	6.118179e+00	0.000000e+00
1.30348000000e+04	5.905518e+00	0.000000e+00
1.35346000000e+04	5.714872e+00	0.000000e+00
1.40344000000e+04	5.529252e+00	0.000000e+00
1.45342000000e+04	5.358094e+00	0.000000e+00
1.50340000000e+04	5.199250e+00	0.000000e+00
1.55338000000e+04	5.049664e+00	0.000000e+00
1.60336000000e+04	4.911574e+00	0.000000e+00
1.65334000000e+04	4.777963e+00	0.000000e+00
1.70332000000e+04	4.657707e+00	0.000000e+00
1.75330000000e+04	4.539041e+00	0.000000e+00
1.80328000000e+04	4.428972e+00	0.000000e+00
1.85326000000e+04	4.320123e+00	0.000000e+00
1.90324000000e+04	4.224052e+00	0.000000e+00
1.95322000000e+04	4.130632e+00	0.000000e+00
2.00320000000e+04	4.040826e+00	0.000000e+00
2.05318000000e+04	3.955393e+00	0.000000e+00
2.10316000000e+04	3.877039e+00	0.000000e+00
2.15314000000e+04	3.797981e+00	0.000000e+00
2.20312000000e+04	3.726521e+00	0.000000e+00
2.25310000000e+04	3.657752e+00	0.000000e+00
2.30308000000e+04	3.588010e+00	0.000000e+00
2.35306000000e+04	3.522104e+00	0.000000e+00
2.40304000000e+04	3.462532e+00	0.000000e+00
2.45302000000e+04	3.403665e+00	0.000000e+00
2.50300000000e+04	3.344401e+00	0.000000e+00
2.55298000000e+04	3.289992e+00	0.000000e+00
2.60296000000e+04	3.239908e+00	0.000000e+00
2.65294000000e+04	3.188685e+00	0.000000e+00
2.70292000000e+04	3.139724e+00	0.000000e+00
2.75290000000e+04	3.092390e+00	0.000000e+00
2.80288000000e+04	3.046813e+00	0.000000e+00
2.85286000000e+04	3.002910e+00	0.000000e+00
2.90284000000e+04	2.962238e+00	0.000000e+00
2.95282000000e+04	2.920176e+00	0.000000e+00
3.00280000000e+04	2.883112e+00	0.000000e+00
3.05278000000e+04	2.842272e+00	0.000000e+00
3.10276000000e+04	2.807595e+00	0.000000e+00
3.15274000000e+04	2.774691e+00	0.000000e+00
3.20272000000e+04	2.740655e+00	0.000000e+00
3.25270000000e+04	2.705353e+00	0.000000e+00
3.30268000000e+04	2.675922e+00	0.000000e+00
3.35266000000e+04	2.640181e+00	0.000000e+00
3.40264000000e+04	2.610145e+00	0.000000e+00
3.45262000000e+04	2.582304e+00	0.000000e+00
3.50260000000e+04	2.554165e+00	0.000000e+00
3.55258000000e+04	2.525273e+00	0.000000e+00
3.60256000000e+04	2.497296e+00	0.000000e+00
3.65254000000e+04	2.473587e+00	0.000000e+00
3.70252000000e+04	2.447981e+00	0.000000e+00
3.75250000000e+04	2.422332e+00	0.000000e+00
3.80248000000e+04	2.400621e+00	0.000000e+00
3.85246000000e+04	2.373883e+00	0.000000e+00
3.90244000000e+04	2.352327e+00	0.000000e+00
3.95242000000e+04	2.329677e+00	0.000000e+00
4.00240000000e+04	2.309058e+00	0.000000e+00
4.05238000000e+04	2.286027e+00	0.000000e+00
4.10236000000e+04	2.267349e+00	0.000000e+00
4.15234000000e+04	2.248813e+00	0.000000e+00
4.20232000000e+04	2.227479e+00	0.000000e+00
4.25230000000e+04	2.207615e+00	0.000000e+00
4.30228000000e+04	2.189399e+00	0.000000e+00
4.35226000000e+04	2.171559e+00	0.000000e+00
4.40224000000e+04	2.154451e+00	0.000000e+00
4.45222000000e+04	2.135973e+00	0.000000e+00
4.50220000000e+04	2.120972e+00	0.000000e+00
4.55218000000e+04	2.103108e+00	0.000000e+00
4.60216000000e+04	2.086545e+00	0.000000e+00
4.65214000000e+04	2.071741e+00	0.000000e+00
4.70212000000e+04	2.052549e+00	0.000000e+00
4.75210000000e+04	2.041374e+00	0.000000e+00
4.80208000000e+04	2.024460e+00	0.000000e+00
4.85206000000e+04	2.011073e+00	0.000000e+00
4.90204000000e+04	1.997496e+00	0.000000e+00
4.95202000000e+04	1.985134e+00	0.000000e+00
5.00200000000e+04	1.970509e+00	0.000000e+00
5.05198000000e+04	1.956956e+00	0.000000e+00
5.10196000000e+04	1.944140e+00	0.000000e+00
5.15194000000e+04	1.932247e+00	0.000000e+00
5.20192000000e+04	1.918905e+00	0.000000e+00
5.25190000000e+04	1.906748e+00	0.000000e+00
5.30188000000e+04	1.893261e+00	0.000000e+00
5.35186000000e+04	1.884243e+00	0.000000e+00
5.40184000000e+04	1.872446e+00	0.000000e+00
5.45182000000e+04	1.860283e+00	0.000000e+00
5.50180000000e+04	1.849499e+00	0.000000e+00
5.55178000000e+04	1.838905e+00	0.000000e+00
5.60176000000e+04	1.827332e+00	0.000000e+00
5.65174000000e+04	1.816188e+00	0.000000e+00
5.70172000000e+04	1.808025e+00	0.000000e+00
5.75170000000e+04	1.797305e+00	0.000000e+00
5.80168000000e+04	1.788969e+00	0.000000e+00
5.85166000000e+04	1.778686e+00	0.000000e+00
5.90164000000e+04	1.767279e+00	0.000000e+00
5.95162000000e+04	1.759085e+00	0.000000e+00
6.00160000000e+04	1.750229e+00	0.000000e+00
6.05158000000e+04	1.741860e+00	0.000000e+00
6.10156000000e+04	1.732366e+00	0.000000e+00
6.15154000000e+04	1.722337e+00	0.000000e+00
6.20152000000e+04	1.714522e+00	0.000000e+00
6.25150000000e+04	1.707339e+00	0.000000e+00
6.30148000000e+04	1.699811e+00	0.000000e+00
6.35146000000e+04	1.691328e+00	0.000000e+00
6.40144000000e+04	1.682179e+00	0.000000e+00
6.45142000000e+04	1.675092e+00	0.000000e+00
6.50140000000e+04	1.666793e+00	0.000000e+00
6.55138000000e+04	1.660987e+00	0.000000e+00
6.60136000000e+04	1.651885e+00	0.000000e+00
6.65134000000e+04	1.645756e+00	0.000000e+00
6.70132000000e+04	1.636348e+00	0.000000e+00
6.75130000000e+04	1.631666e+00	0.000000e+00
6.80128000000e+04	1.624786e+00	0.000000e+00
6.85126000000e+04	1.618309e+00	0.000000e+00
6.90124000000e+04	1.610629e+00	0.000000e+00
6.95122000000e+04	1.605287e+00	0.000000e+00
7.00120000000e+04	1.597076e+00	0.000000e+00
7.05118000000e+04	1.592415e+00	0.000000e+00
7.10116000000e+04	1.586820e+00	0.000000e+00
7.15114000000e+04	1.581309e+00	0.000000e+00
7.20112000000e+04	1.572582e+00	0.000000e+00
7.25110000000e+04	1.567119e+00	0.000000e+00
7.30108000000e+04	1.561601e+00	0.000000e+00
7.35106000000e+04	1.554339e+00	0.000000e+00
7.40104000000e+04	1.550493e+00	0.000000e+00
7.45102000000e+04	1.543962e+00	0.000000e+00
7.50100000000e+04	1.538154e+00	0.000000e+00
7.55098000000e+04	1.531711e+00	0.000000e+00
7.60096000000e+04	1.528142e+00	0.000000e+00
7.65094000000e+04	1.523522e+00	0.000000e+00
7.70092000000e+04	1.517915e+00	0.000000e+00
7.75090000000e+04	1.512331e+00	0.000000e+00
7.80088000000e+04	1.508048e+00	0.000000e+00
7.85086000000e+04	1.501722e+00	0.000000e+00
7.90084000000e+04	1.496165e+00	0.000000e+00
7.95082000000e+04	1.490463e+00	0.000000e+00
8.00080000000e+04	1.486726e+00	0.000000e+00
8.05078000000e+04	1.481920e+00	0.000000e+00
8.10076000000e+04	1.478795e+00	0.000000e+00
8.15074000000e+04	1.473212e+00	0.000000e+00
8.20072000000e+04	1.468856e+00	0.000000e+00
8.25070000000e+04	1.464818e+00	0.000000e+00
8.30068000000e+04	1.459999e+00	0.000000e+00
8.35066000000e+04	1.456510e+00	0.000000e+00
8.40064000000e+04	1.451806e+00	0.000000e+00
