4294A REV1.11
"DATE:     12 -100"


"MEASURE PARAMETER: IMPEDANCE - ADMITTANCE"
"ADAPTER: NONE"
"SWEEP TYPE: LIN FREQ"
"NUMBER of POINTS: 201"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  10 mVolt"
"DC BIAS:  5 Volt"
"BW: 2"
"SWEEP AVERAGING: OFF"
"POINT AVERAGING: OFF"


"TRACE: A"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
4.00000000000e+01	3.258627e+01	-3.798318e+03
5.39800000000e+02	1.035947e+01	-2.874318e+02
1.03960000000e+03	7.733780e+00	-1.515142e+02
1.53940000000e+03	6.743476e+00	-1.031694e+02
2.03920000000e+03	5.898972e+00	-7.846617e+01
2.53900000000e+03	5.471774e+00	-6.359351e+01
3.03880000000e+03	4.931323e+00	-5.363049e+01
3.53860000000e+03	4.753528e+00	-4.623335e+01
4.03840000000e+03	4.469028e+00	-4.075250e+01
4.53820000000e+03	4.138103e+00	-3.636299e+01
5.03800000000e+03	4.002446e+00	-3.289524e+01
5.53780000000e+03	3.880260e+00	-3.018952e+01
6.03760000000e+03	3.790613e+00	-2.769472e+01
6.53740000000e+03	3.593921e+00	-2.575908e+01
7.03720000000e+03	3.464441e+00	-2.399330e+01
7.53700000000e+03	3.378870e+00	-2.244852e+01
8.03680000000e+03	3.382631e+00	-2.104211e+01
8.53660000000e+03	3.190630e+00	-1.991721e+01
9.03640000000e+03	3.201929e+00	-1.883720e+01
9.53620000000e+03	3.130301e+00	-1.788059e+01
1.00360000000e+04	3.031821e+00	-1.706638e+01
1.05358000000e+04	3.010269e+00	-1.629856e+01
1.10356000000e+04	2.970648e+00	-1.558083e+01
1.15354000000e+04	2.925828e+00	-1.493433e+01
1.20352000000e+04	2.864097e+00	-1.433779e+01
1.25350000000e+04	2.879832e+00	-1.379257e+01
1.30348000000e+04	2.837598e+00	-1.329520e+01
1.35346000000e+04	2.761992e+00	-1.283289e+01
1.40344000000e+04	2.766252e+00	-1.239255e+01
1.45342000000e+04	2.718199e+00	-1.194786e+01
1.50340000000e+04	2.711010e+00	-1.158651e+01
1.55338000000e+04	2.703330e+00	-1.126467e+01
1.60336000000e+04	2.655301e+00	-1.093916e+01
1.65334000000e+04	2.662266e+00	-1.056851e+01
1.70332000000e+04	2.634736e+00	-1.028282e+01
1.75330000000e+04	2.615581e+00	-1.001733e+01
1.80328000000e+04	2.559030e+00	-9.732758e+00
1.85326000000e+04	2.567832e+00	-9.491768e+00
1.90324000000e+04	2.556809e+00	-9.221962e+00
1.95322000000e+04	2.552498e+00	-9.014257e+00
2.00320000000e+04	2.530428e+00	-8.804935e+00
2.05318000000e+04	2.513856e+00	-8.602901e+00
2.10316000000e+04	2.501028e+00	-8.365953e+00
2.15314000000e+04	2.498672e+00	-8.195234e+00
2.20312000000e+04	2.477028e+00	-8.040121e+00
2.25310000000e+04	2.443171e+00	-7.877864e+00
2.30308000000e+04	2.440708e+00	-7.689581e+00
2.35306000000e+04	2.460107e+00	-7.520503e+00
2.40304000000e+04	2.417829e+00	-7.390077e+00
2.45302000000e+04	2.447364e+00	-7.226239e+00
2.50300000000e+04	2.414803e+00	-7.105796e+00
2.55298000000e+04	2.389711e+00	-6.979815e+00
2.60296000000e+04	2.402461e+00	-6.829851e+00
2.65294000000e+04	2.399124e+00	-6.707049e+00
2.70292000000e+04	2.393454e+00	-6.599267e+00
2.75290000000e+04	2.384335e+00	-6.475444e+00
2.80288000000e+04	2.375964e+00	-6.385385e+00
2.85286000000e+04	2.347301e+00	-6.259514e+00
2.90284000000e+04	2.365751e+00	-6.143979e+00
2.95282000000e+04	2.346323e+00	-6.051899e+00
3.00280000000e+04	2.342561e+00	-5.950232e+00
3.05278000000e+04	2.331985e+00	-5.863240e+00
3.10276000000e+04	2.335240e+00	-5.778236e+00
3.15274000000e+04	2.331329e+00	-5.685585e+00
3.20272000000e+04	2.323973e+00	-5.584868e+00
3.25270000000e+04	2.314310e+00	-5.525013e+00
3.30268000000e+04	2.318098e+00	-5.439565e+00
3.35266000000e+04	2.300385e+00	-5.356876e+00
3.40264000000e+04	2.311970e+00	-5.294391e+00
3.45262000000e+04	2.306106e+00	-5.219217e+00
3.50260000000e+04	2.292953e+00	-5.149476e+00
3.55258000000e+04	2.285105e+00	-5.071540e+00
3.60256000000e+04	2.293727e+00	-4.998734e+00
3.65254000000e+04	2.289646e+00	-4.939342e+00
3.70252000000e+04	2.274706e+00	-4.863290e+00
3.75250000000e+04	2.283041e+00	-4.809598e+00
3.80248000000e+04	2.271681e+00	-4.751882e+00
3.85246000000e+04	2.274342e+00	-4.687997e+00
3.90244000000e+04	2.268222e+00	-4.643607e+00
3.95242000000e+04	2.271373e+00	-4.585397e+00
4.00240000000e+04	2.268500e+00	-4.533002e+00
4.05238000000e+04	2.256624e+00	-4.468403e+00
4.10236000000e+04	2.245127e+00	-4.419672e+00
4.15234000000e+04	2.255776e+00	-4.365482e+00
4.20232000000e+04	2.255709e+00	-4.327301e+00
4.25230000000e+04	2.238992e+00	-4.267406e+00
4.30228000000e+04	2.240555e+00	-4.223393e+00
4.35226000000e+04	2.239757e+00	-4.165921e+00
4.40224000000e+04	2.238190e+00	-4.120059e+00
4.45222000000e+04	2.242317e+00	-4.080959e+00
4.50220000000e+04	2.221029e+00	-4.040616e+00
4.55218000000e+04	2.226539e+00	-4.000591e+00
4.60216000000e+04	2.221754e+00	-3.960599e+00
4.65214000000e+04	2.228917e+00	-3.914722e+00
4.70212000000e+04	2.225264e+00	-3.872977e+00
4.75210000000e+04	2.227362e+00	-3.832829e+00
4.80208000000e+04	2.220887e+00	-3.800776e+00
4.85206000000e+04	2.210543e+00	-3.758676e+00
4.90204000000e+04	2.220638e+00	-3.728203e+00
4.95202000000e+04	2.211897e+00	-3.691333e+00
5.00200000000e+04	2.211456e+00	-3.652827e+00
5.05198000000e+04	2.214707e+00	-3.619989e+00
5.10196000000e+04	2.202877e+00	-3.587963e+00
5.15194000000e+04	2.203207e+00	-3.555223e+00
5.20192000000e+04	2.201300e+00	-3.518190e+00
5.25190000000e+04	2.198375e+00	-3.487373e+00
5.30188000000e+04	2.193239e+00	-3.455597e+00
5.35186000000e+04	2.198396e+00	-3.423739e+00
5.40184000000e+04	2.187675e+00	-3.394599e+00
5.45182000000e+04	2.190866e+00	-3.361790e+00
5.50180000000e+04	2.187532e+00	-3.337552e+00
5.55178000000e+04	2.193124e+00	-3.307501e+00
5.60176000000e+04	2.189137e+00	-3.278008e+00
5.65174000000e+04	2.191253e+00	-3.250288e+00
5.70172000000e+04	2.181860e+00	-3.222134e+00
5.75170000000e+04	2.186924e+00	-3.198662e+00
5.80168000000e+04	2.188595e+00	-3.175037e+00
5.85166000000e+04	2.177661e+00	-3.148595e+00
5.90164000000e+04	2.177616e+00	-3.117628e+00
5.95162000000e+04	2.178190e+00	-3.092617e+00
6.00160000000e+04	2.176650e+00	-3.070388e+00
6.05158000000e+04	2.180555e+00	-3.047037e+00
6.10156000000e+04	2.168206e+00	-3.021214e+00
6.15154000000e+04	2.171931e+00	-2.997998e+00
6.20152000000e+04	2.171592e+00	-2.969300e+00
6.25150000000e+04	2.167011e+00	-2.952328e+00
6.30148000000e+04	2.168263e+00	-2.931235e+00
6.35146000000e+04	2.170382e+00	-2.904911e+00
6.40144000000e+04	2.168511e+00	-2.888150e+00
6.45142000000e+04	2.167507e+00	-2.865994e+00
6.50140000000e+04	2.163510e+00	-2.849730e+00
6.55138000000e+04	2.158303e+00	-2.829145e+00
6.60136000000e+04	2.160239e+00	-2.805039e+00
6.65134000000e+04	2.157079e+00	-2.781190e+00
6.70132000000e+04	2.158595e+00	-2.762923e+00
6.75130000000e+04	2.153591e+00	-2.747022e+00
6.80128000000e+04	2.154072e+00	-2.724475e+00
6.85126000000e+04	2.156075e+00	-2.707127e+00
6.90124000000e+04	2.158542e+00	-2.685456e+00
6.95122000000e+04	2.155984e+00	-2.669983e+00
7.00120000000e+04	2.147551e+00	-2.653035e+00
7.05118000000e+04	2.143411e+00	-2.633769e+00
