4294A REV1.11
"DATE:     13 -100"


"MEASURE PARAMETER: IMPEDANCE - ADMITTANCE"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 801"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  10 mVolt"
"DC BIAS:  5 Volt"
"BW: 2"
"SWEEP AVERAGING: OFF"
"POINT AVERAGING: OFF"


"TRACE: A"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
4.00000000000e+01	3.408551e+01	-3.804507e+03
4.07480000000e+01	3.592500e+01	-3.735815e+03
4.15110000000e+01	4.093176e+01	-3.665384e+03
4.22870000000e+01	3.536368e+01	-3.600769e+03
4.30780000000e+01	3.555141e+01	-3.535598e+03
4.38840000000e+01	3.487888e+01	-3.468915e+03
4.47050000000e+01	3.565643e+01	-3.403913e+03
4.55410000000e+01	3.184741e+01	-3.343123e+03
4.63930000000e+01	2.935742e+01	-3.283170e+03
4.72610000000e+01	3.368373e+01	-3.218612e+03
4.81450000000e+01	3.064702e+01	-3.160371e+03
4.90460000000e+01	3.531607e+01	-3.103841e+03
4.99630000000e+01	3.295128e+01	-3.047360e+03
5.08980000000e+01	3.238011e+01	-2.993790e+03
5.18500000000e+01	3.206095e+01	-2.938139e+03
5.28200000000e+01	3.243656e+01	-2.884462e+03
5.38080000000e+01	2.844368e+01	-2.830153e+03
5.48150000000e+01	2.971610e+01	-2.781544e+03
5.58400000000e+01	2.638526e+01	-2.728307e+03
5.68850000000e+01	2.690295e+01	-2.681598e+03
5.79490000000e+01	2.687682e+01	-2.632053e+03
5.90330000000e+01	2.913565e+01	-2.578897e+03
6.01370000000e+01	2.861090e+01	-2.534010e+03
6.12620000000e+01	2.580062e+01	-2.487129e+03
6.24080000000e+01	2.555079e+01	-2.442390e+03
6.35750000000e+01	2.605859e+01	-2.394924e+03
6.47650000000e+01	2.605474e+01	-2.356317e+03
6.59760000000e+01	2.603386e+01	-2.312307e+03
6.72100000000e+01	2.533471e+01	-2.267934e+03
6.84680000000e+01	2.634441e+01	-2.226696e+03
6.97490000000e+01	2.492048e+01	-2.185738e+03
7.10530000000e+01	2.492760e+01	-2.146091e+03
7.23820000000e+01	2.685788e+01	-2.107628e+03
7.37360000000e+01	2.456113e+01	-2.069497e+03
7.51160000000e+01	2.456323e+01	-2.032229e+03
7.65210000000e+01	2.281711e+01	-1.993427e+03
7.79520000000e+01	2.450192e+01	-1.958180e+03
7.94110000000e+01	2.384291e+01	-1.921317e+03
8.08960000000e+01	2.321544e+01	-1.887237e+03
8.24100000000e+01	2.195335e+01	-1.851947e+03
8.39510000000e+01	2.406586e+01	-1.818182e+03
8.55220000000e+01	2.239198e+01	-1.784304e+03
8.71210000000e+01	2.275962e+01	-1.752332e+03
8.87510000000e+01	2.124002e+01	-1.721324e+03
9.04110000000e+01	2.220865e+01	-1.689781e+03
9.21030000000e+01	2.262780e+01	-1.658284e+03
9.38260000000e+01	2.199445e+01	-1.628667e+03
9.55810000000e+01	2.205169e+01	-1.597796e+03
9.73690000000e+01	2.073066e+01	-1.568283e+03
9.91900000000e+01	2.055405e+01	-1.541337e+03
1.01046000000e+02	2.062980e+01	-1.512196e+03
1.02936000000e+02	2.103827e+01	-1.484283e+03
1.04862000000e+02	2.049149e+01	-1.456469e+03
1.06823000000e+02	1.974137e+01	-1.431478e+03
1.08822000000e+02	1.892169e+01	-1.404217e+03
1.10857000000e+02	2.012334e+01	-1.378047e+03
1.12931000000e+02	1.867920e+01	-1.354906e+03
1.15044000000e+02	1.949145e+01	-1.328527e+03
1.17196000000e+02	1.989941e+01	-1.304822e+03
1.19388000000e+02	1.841152e+01	-1.281362e+03
1.21621000000e+02	1.829511e+01	-1.257146e+03
