4294A REV1.11
"DATE:     14 -100"


"MEASURE PARAMETER: IMPEDANCE - ADMITTANCE"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 801"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  10 mVolt"
"DC BIAS:  5 Volt"
"BW: 1"
"SWEEP AVERAGING: OFF"
"POINT AVERAGING: OFF"


"TRACE: A"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
4.00000000000e+01	6.509888e+00	-8.764669e+02
4.07480000000e+01	6.575472e+00	-8.613446e+02
4.15110000000e+01	6.222327e+00	-8.450771e+02
4.22870000000e+01	6.043333e+00	-8.300636e+02
4.30780000000e+01	6.461658e+00	-8.143943e+02
4.38840000000e+01	6.399156e+00	-7.992385e+02
4.47050000000e+01	6.087107e+00	-7.848423e+02
4.55410000000e+01	5.922546e+00	-7.709215e+02
4.63930000000e+01	6.328362e+00	-7.568052e+02
4.72610000000e+01	5.647390e+00	-7.427107e+02
4.81450000000e+01	5.470342e+00	-7.292682e+02
4.90460000000e+01	5.669735e+00	-7.154695e+02
4.99630000000e+01	5.759951e+00	-7.027576e+02
5.08980000000e+01	5.726132e+00	-6.893584e+02
5.18500000000e+01	5.508504e+00	-6.768251e+02
5.28200000000e+01	5.186223e+00	-6.642177e+02
5.38080000000e+01	5.905559e+00	-6.530569e+02
5.48150000000e+01	5.739930e+00	-6.403259e+02
5.58400000000e+01	5.239762e+00	-6.296770e+02
5.68850000000e+01	5.286961e+00	-6.169226e+02
5.79490000000e+01	5.647592e+00	-6.060988e+02
5.90330000000e+01	4.877270e+00	-5.948811e+02
6.01370000000e+01	5.147304e+00	-5.841145e+02
6.12620000000e+01	5.165098e+00	-5.735144e+02
6.24080000000e+01	5.101398e+00	-5.630198e+02
6.35750000000e+01	4.645492e+00	-5.529658e+02
6.47650000000e+01	4.517729e+00	-5.419719e+02
6.59760000000e+01	4.630613e+00	-5.321682e+02
6.72100000000e+01	4.921564e+00	-5.232428e+02
6.84680000000e+01	4.628988e+00	-5.133735e+02
6.97490000000e+01	4.427397e+00	-5.038180e+02
7.10530000000e+01	4.196426e+00	-4.945969e+02
7.23820000000e+01	4.141086e+00	-4.856575e+02
7.37360000000e+01	4.259809e+00	-4.766555e+02
7.51160000000e+01	4.243094e+00	-4.679292e+02
7.65210000000e+01	4.290620e+00	-4.592884e+02
7.79520000000e+01	4.324945e+00	-4.509586e+02
7.94110000000e+01	4.406945e+00	-4.427906e+02
8.08960000000e+01	4.210448e+00	-4.345419e+02
8.24100000000e+01	4.257116e+00	-4.269636e+02
8.39510000000e+01	3.983770e+00	-4.190360e+02
8.55220000000e+01	3.947689e+00	-4.114429e+02
