4294A REV1.11
"DATE:     14 -100"


"MEASURE PARAMETER: IMPEDANCE - ADMITTANCE"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 801"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  10 mVolt"
"DC BIAS:  5 Volt"
"BW: 1"
"SWEEP AVERAGING: OFF"
"POINT AVERAGING: OFF"


"TRACE: A"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
4.00000000000e+01	7.390084e+00	-8.772200e+02
4.07480000000e+01	7.246368e+00	-8.606564e+02
4.15110000000e+01	6.831586e+00	-8.452014e+02
4.22870000000e+01	6.217937e+00	-8.303689e+02
4.30780000000e+01	6.107612e+00	-8.148119e+02
4.38840000000e+01	6.316197e+00	-7.997111e+02
4.47050000000e+01	6.572652e+00	-7.851403e+02
4.55410000000e+01	5.860857e+00	-7.705748e+02
4.63930000000e+01	5.845764e+00	-7.563243e+02
4.72610000000e+01	6.619177e+00	-7.432860e+02
4.81450000000e+01	6.429164e+00	-7.291630e+02
4.90460000000e+01	5.820458e+00	-7.163463e+02
4.99630000000e+01	5.665894e+00	-7.027620e+02
5.08980000000e+01	5.544228e+00	-6.898602e+02
5.18500000000e+01	5.671073e+00	-6.777347e+02
5.28200000000e+01	5.525126e+00	-6.652733e+02
5.38080000000e+01	4.869036e+00	-6.521278e+02
5.48150000000e+01	4.864093e+00	-6.404788e+02
5.58400000000e+01	5.367900e+00	-6.284686e+02
5.68850000000e+01	5.066025e+00	-6.173906e+02
5.79490000000e+01	4.881162e+00	-6.057883e+02
5.90330000000e+01	4.964980e+00	-5.956292e+02
6.01370000000e+01	5.013947e+00	-5.842871e+02
6.12620000000e+01	5.091285e+00	-5.734252e+02
6.24080000000e+01	4.831835e+00	-5.625389e+02
6.35750000000e+01	5.273000e+00	-5.524852e+02
6.47650000000e+01	4.068484e+00	-5.424995e+02
6.59760000000e+01	4.324954e+00	-5.326378e+02
6.72100000000e+01	4.709496e+00	-5.227261e+02
6.84680000000e+01	4.477344e+00	-5.132745e+02
6.97490000000e+01	4.299863e+00	-5.039131e+02
7.10530000000e+01	4.438753e+00	-4.950146e+02
7.23820000000e+01	4.665112e+00	-4.858399e+02
7.37360000000e+01	3.956428e+00	-4.768932e+02
7.51160000000e+01	4.102595e+00	-4.682763e+02
7.65210000000e+01	4.197152e+00	-4.593035e+02
7.79520000000e+01	4.005561e+00	-4.511747e+02
7.94110000000e+01	4.241159e+00	-4.429858e+02
8.08960000000e+01	4.297528e+00	-4.346374e+02
8.24100000000e+01	3.915402e+00	-4.267281e+02
8.39510000000e+01	4.030197e+00	-4.189847e+02
8.55220000000e+01	3.980984e+00	-4.115273e+02
8.71210000000e+01	3.913667e+00	-4.041653e+02
8.87510000000e+01	3.684652e+00	-3.963877e+02
9.04110000000e+01	3.838849e+00	-3.892523e+02
9.21030000000e+01	3.866392e+00	-3.824229e+02
9.38260000000e+01	3.769960e+00	-3.751021e+02
9.55810000000e+01	3.593494e+00	-3.683197e+02
9.73690000000e+01	3.192790e+00	-3.614062e+02
9.91900000000e+01	3.094451e+00	-3.550236e+02
1.01046000000e+02	3.697030e+00	-3.485360e+02
1.02936000000e+02	3.303535e+00	-3.418063e+02
1.04862000000e+02	3.579142e+00	-3.356549e+02
1.06823000000e+02	3.185883e+00	-3.296830e+02
1.08822000000e+02	3.367293e+00	-3.234383e+02
1.10857000000e+02	3.177438e+00	-3.175956e+02
1.12931000000e+02	3.210489e+00	-3.121151e+02
1.15044000000e+02	3.360867e+00	-3.060972e+02
1.17196000000e+02	3.223561e+00	-3.004232e+02
1.19388000000e+02	3.064507e+00	-2.950961e+02
1.21621000000e+02	3.205196e+00	-2.896792e+02
1.23897000000e+02	3.291496e+00	-2.843740e+02
1.26214000000e+02	3.081998e+00	-2.792717e+02
1.28575000000e+02	2.936613e+00	-2.741274e+02
1.30980000000e+02	2.894596e+00	-2.692822e+02
1.33431000000e+02	3.035067e+00	-2.641691e+02
1.35927000000e+02	2.814219e+00	-2.593208e+02
1.38469000000e+02	3.059674e+00	-2.546143e+02
1.41060000000e+02	2.682583e+00	-2.500094e+02
1.43699000000e+02	3.080847e+00	-2.453892e+02
1.46387000000e+02	2.840004e+00	-2.409203e+02
1.49125000000e+02	2.966546e+00	-2.363500e+02
1.51915000000e+02	2.878847e+00	-2.321272e+02
1.54757000000e+02	2.884699e+00	-2.277848e+02
1.57652000000e+02	2.764241e+00	-2.238838e+02
1.60601000000e+02	2.824516e+00	-2.194030e+02
1.63605000000e+02	2.626331e+00	-2.156119e+02
1.66666000000e+02	2.690918e+00	-2.114938e+02
1.69783000000e+02	2.881395e+00	-2.079828e+02
1.72959000000e+02	2.874842e+00	-2.039434e+02
1.76195000000e+02	2.560628e+00	-2.001828e+02
1.79491000000e+02	2.605297e+00	-1.967671e+02
1.82849000000e+02	2.750980e+00	-1.930019e+02
1.86269000000e+02	2.743601e+00	-1.895214e+02
1.89754000000e+02	2.668658e+00	-1.859395e+02
1.93303000000e+02	2.589772e+00	-1.826472e+02
1.96919000000e+02	2.564157e+00	-1.792193e+02
2.00603000000e+02	2.478680e+00	-1.760443e+02
2.04356000000e+02	2.452955e+00	-1.726896e+02
2.08178000000e+02	2.531610e+00	-1.697266e+02
2.12073000000e+02	2.466282e+00	-1.666264e+02
2.16040000000e+02	2.434483e+00	-1.634349e+02
2.20081000000e+02	2.374732e+00	-1.603466e+02
2.24198000000e+02	2.322965e+00	-1.574764e+02
2.28392000000e+02	2.402604e+00	-1.546596e+02
2.32665000000e+02	2.373847e+00	-1.518479e+02
2.37017000000e+02	2.195200e+00	-1.490807e+02
2.41451000000e+02	2.301869e+00	-1.462770e+02
2.45968000000e+02	2.214375e+00	-1.437396e+02
2.50569000000e+02	2.139196e+00	-1.412025e+02
2.55256000000e+02	2.369499e+00	-1.384170e+02
2.60031000000e+02	2.191710e+00	-1.360181e+02
2.64896000000e+02	2.302978e+00	-1.334376e+02
2.69851000000e+02	2.285407e+00	-1.310190e+02
2.74899000000e+02	2.259335e+00	-1.286275e+02
2.80042000000e+02	2.137593e+00	-1.263440e+02
2.85280000000e+02	2.172115e+00	-1.239822e+02
2.90617000000e+02	2.129104e+00	-1.216678e+02
2.96053000000e+02	2.175195e+00	-1.194943e+02
3.01591000000e+02	2.115246e+00	-1.171992e+02
3.07233000000e+02	2.229872e+00	-1.151075e+02
3.12981000000e+02	2.219106e+00	-1.131562e+02
3.18835000000e+02	2.101500e+00	-1.109401e+02
3.24800000000e+02	2.003744e+00	-1.089777e+02
3.30876000000e+02	1.970858e+00	-1.070348e+02
3.37065000000e+02	2.130167e+00	-1.051195e+02
3.43371000000e+02	2.113006e+00	-1.029446e+02
3.49794000000e+02	2.069906e+00	-1.011673e+02
3.56338000000e+02	1.947262e+00	-9.928662e+01
3.63003000000e+02	1.928952e+00	-9.748688e+01
3.69794000000e+02	2.016733e+00	-9.570221e+01
3.76712000000e+02	1.994175e+00	-9.401483e+01
3.83759000000e+02	2.147672e+00	-9.224094e+01
3.90938000000e+02	1.970554e+00	-9.058049e+01
3.98251000000e+02	2.061002e+00	-8.891924e+01
4.05701000000e+02	1.969853e+00	-8.727084e+01
4.13290000000e+02	1.927718e+00	-8.566626e+01
4.21021000000e+02	1.820664e+00	-8.406714e+01
4.28897000000e+02	2.094572e+00	-8.255049e+01
4.36920000000e+02	1.914327e+00	-8.108063e+01
4.45094000000e+02	1.986762e+00	-7.961836e+01
4.53420000000e+02	2.049514e+00	-7.811234e+01
4.61902000000e+02	2.006079e+00	-7.677660e+01
4.70543000000e+02	1.912157e+00	-7.547638e+01
4.79345000000e+02	1.904509e+00	-7.390961e+01
4.88312000000e+02	1.876876e+00	-7.263330e+01
4.97447000000e+02	1.958901e+00	-7.129289e+01
5.06752000000e+02	1.856702e+00	-6.992667e+01
5.16232000000e+02	1.821980e+00	-6.869351e+01
5.25889000000e+02	1.849170e+00	-6.745038e+01
5.35727000000e+02	1.815530e+00	-6.620303e+01
5.45748000000e+02	1.851856e+00	-6.504031e+01
5.55957000000e+02	1.812500e+00	-6.376639e+01
