4294A REV1.11
"DATE:     13 -100"


"MEASURE PARAMETER: IMPEDANCE - ADMITTANCE"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 801"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  10 mVolt"
"DC BIAS:  5 Volt"
"BW: 2"
"SWEEP AVERAGING: OFF"
"POINT AVERAGING: OFF"


"TRACE: A"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
4.00000000000e+01	3.920862e+01	-1.702745e+03
4.07480000000e+01	4.040282e+01	-1.671798e+03
4.15110000000e+01	3.740482e+01	-1.640907e+03
4.22870000000e+01	3.838895e+01	-1.610980e+03
4.30780000000e+01	3.749538e+01	-1.581647e+03
4.38840000000e+01	3.635820e+01	-1.552870e+03
4.47050000000e+01	3.590634e+01	-1.524262e+03
4.55410000000e+01	3.590015e+01	-1.496610e+03
4.63930000000e+01	3.469511e+01	-1.468897e+03
4.72610000000e+01	3.378180e+01	-1.443979e+03
4.81450000000e+01	3.466661e+01	-1.416671e+03
4.90460000000e+01	3.351028e+01	-1.391137e+03
4.99630000000e+01	3.302866e+01	-1.365775e+03
5.08980000000e+01	3.183138e+01	-1.340371e+03
5.18500000000e+01	3.160359e+01	-1.316984e+03
5.28200000000e+01	3.126920e+01	-1.292914e+03
5.38080000000e+01	3.003498e+01	-1.268252e+03
5.48150000000e+01	2.884394e+01	-1.246398e+03
5.58400000000e+01	3.029607e+01	-1.222107e+03
5.68850000000e+01	2.772609e+01	-1.201026e+03
5.79490000000e+01	2.798072e+01	-1.179101e+03
5.90330000000e+01	2.820200e+01	-1.158649e+03
6.01370000000e+01	2.678880e+01	-1.137815e+03
6.12620000000e+01	2.734735e+01	-1.116877e+03
6.24080000000e+01	2.701511e+01	-1.096003e+03
6.35750000000e+01	2.730418e+01	-1.075760e+03
6.47650000000e+01	2.479514e+01	-1.057293e+03
6.59760000000e+01	2.465601e+01	-1.038549e+03
6.72100000000e+01	2.514468e+01	-1.019281e+03
6.84680000000e+01	2.468790e+01	-9.996213e+02
6.97490000000e+01	2.409425e+01	-9.823589e+02
7.10530000000e+01	2.390866e+01	-9.643473e+02
7.23820000000e+01	2.322544e+01	-9.470405e+02
7.37360000000e+01	2.201535e+01	-9.301476e+02
7.51160000000e+01	2.218633e+01	-9.132572e+02
7.65210000000e+01	2.205991e+01	-8.964659e+02
7.79520000000e+01	2.211390e+01	-8.804027e+02
7.94110000000e+01	2.131227e+01	-8.644618e+02
8.08960000000e+01	2.103652e+01	-8.486604e+02
8.24100000000e+01	2.156125e+01	-8.324512e+02
8.39510000000e+01	2.093245e+01	-8.186383e+02
8.55220000000e+01	2.119844e+01	-8.034745e+02
8.71210000000e+01	2.057241e+01	-7.888788e+02
8.87510000000e+01	1.993143e+01	-7.750002e+02
9.04110000000e+01	1.924500e+01	-7.605295e+02
9.21030000000e+01	1.932777e+01	-7.470896e+02
9.38260000000e+01	1.868285e+01	-7.331798e+02
9.55810000000e+01	1.867087e+01	-7.193989e+02
9.73690000000e+01	1.801702e+01	-7.062290e+02
9.91900000000e+01	1.829499e+01	-6.941453e+02
1.01046000000e+02	1.795815e+01	-6.812986e+02
1.02936000000e+02	1.795799e+01	-6.693026e+02
1.04862000000e+02	1.726405e+01	-6.566282e+02
1.06823000000e+02	1.759658e+01	-6.451926e+02
1.08822000000e+02	1.711445e+01	-6.331588e+02
1.10857000000e+02	1.650714e+01	-6.217521e+02
1.12931000000e+02	1.639643e+01	-6.107421e+02
1.15044000000e+02	1.637263e+01	-5.997850e+02
1.17196000000e+02	1.621232e+01	-5.885656e+02
1.19388000000e+02	1.615060e+01	-5.783878e+02
1.21621000000e+02	1.595423e+01	-5.675044e+02
1.23897000000e+02	1.586946e+01	-5.573370e+02
1.26214000000e+02	1.503232e+01	-5.468544e+02
1.28575000000e+02	1.503181e+01	-5.366605e+02
1.30980000000e+02	1.479861e+01	-5.272241e+02
1.33431000000e+02	1.418123e+01	-5.180452e+02
1.35927000000e+02	1.430937e+01	-5.081759e+02
1.38469000000e+02	1.400829e+01	-4.997638e+02
1.41060000000e+02	1.413176e+01	-4.904336e+02
1.43699000000e+02	1.378520e+01	-4.815405e+02
1.46387000000e+02	1.344701e+01	-4.729395e+02
1.49125000000e+02	1.336823e+01	-4.642288e+02
1.51915000000e+02	1.326966e+01	-4.555950e+02
1.54757000000e+02	1.318474e+01	-4.474730e+02
1.57652000000e+02	1.284822e+01	-4.392690e+02
1.60601000000e+02	1.289171e+01	-4.314613e+02
1.63605000000e+02	1.243012e+01	-4.236372e+02
1.66666000000e+02	1.265302e+01	-4.155989e+02
1.69783000000e+02	1.274992e+01	-4.085096e+02
1.72959000000e+02	1.222065e+01	-4.014894e+02
1.76195000000e+02	1.173230e+01	-3.938997e+02
1.79491000000e+02	1.187097e+01	-3.864616e+02
1.82849000000e+02	1.145531e+01	-3.798787e+02
1.86269000000e+02	1.146014e+01	-3.730258e+02
1.89754000000e+02	1.141533e+01	-3.659028e+02
1.93303000000e+02	1.132043e+01	-3.596623e+02
1.96919000000e+02	1.113822e+01	-3.528749e+02
2.00603000000e+02	1.119099e+01	-3.468984e+02
2.04356000000e+02	1.051009e+01	-3.402624e+02
2.08178000000e+02	1.105929e+01	-3.338532e+02
2.12073000000e+02	1.071746e+01	-3.282318e+02
2.16040000000e+02	1.039030e+01	-3.220690e+02
2.20081000000e+02	1.035756e+01	-3.160624e+02
2.24198000000e+02	1.039213e+01	-3.105074e+02
2.28392000000e+02	1.047091e+01	-3.046332e+02
2.32665000000e+02	1.001827e+01	-2.993398e+02
2.37017000000e+02	1.007657e+01	-2.939365e+02
2.41451000000e+02	9.894365e+00	-2.887875e+02
2.45968000000e+02	9.659637e+00	-2.832979e+02
2.50569000000e+02	9.608719e+00	-2.783835e+02
2.55256000000e+02	9.274378e+00	-2.730921e+02
2.60031000000e+02	9.360508e+00	-2.681820e+02
2.64896000000e+02	9.230898e+00	-2.632659e+02
2.69851000000e+02	9.397350e+00	-2.584255e+02
2.74899000000e+02	9.130131e+00	-2.540556e+02
2.80042000000e+02	9.026278e+00	-2.492459e+02
2.85280000000e+02	8.641018e+00	-2.449402e+02
2.90617000000e+02	8.841423e+00	-2.402758e+02
2.96053000000e+02	8.879513e+00	-2.363054e+02
3.01591000000e+02	8.602983e+00	-2.315681e+02
3.07233000000e+02	8.607935e+00	-2.277671e+02
3.12981000000e+02	8.539810e+00	-2.236476e+02
3.18835000000e+02	8.227776e+00	-2.193653e+02
3.24800000000e+02	7.719438e+00	-2.157349e+02
3.30876000000e+02	8.028025e+00	-2.117117e+02
3.37065000000e+02	8.150597e+00	-2.079430e+02
3.43371000000e+02	8.054008e+00	-2.040996e+02
3.49794000000e+02	7.787544e+00	-2.003603e+02
3.56338000000e+02	8.033966e+00	-1.965576e+02
3.63003000000e+02	7.619640e+00	-1.934577e+02
3.69794000000e+02	7.892780e+00	-1.895850e+02
3.76712000000e+02	7.652573e+00	-1.864294e+02
3.83759000000e+02	7.425066e+00	-1.830209e+02
3.90938000000e+02	7.452107e+00	-1.796328e+02
3.98251000000e+02	7.409766e+00	-1.764651e+02
4.05701000000e+02	7.238900e+00	-1.731090e+02
4.13290000000e+02	7.352255e+00	-1.701494e+02
4.21021000000e+02	7.429030e+00	-1.670181e+02
4.28897000000e+02	7.287916e+00	-1.639522e+02
4.36920000000e+02	7.230483e+00	-1.609371e+02
4.45094000000e+02	7.011542e+00	-1.581030e+02
4.53420000000e+02	6.827091e+00	-1.552510e+02
4.61902000000e+02	6.993391e+00	-1.524825e+02
4.70543000000e+02	6.977695e+00	-1.496524e+02
4.79345000000e+02	7.143554e+00	-1.471686e+02
4.88312000000e+02	6.736286e+00	-1.444554e+02
4.97447000000e+02	6.613582e+00	-1.418099e+02
5.06752000000e+02	6.842056e+00	-1.390637e+02
5.16232000000e+02	6.775908e+00	-1.367687e+02
