4294A REV1.11
"DATE:     13 -100"


"MEASURE PARAMETER: IMPEDANCE - ADMITTANCE"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 801"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  10 mVolt"
"DC BIAS:  5 Volt"
"BW: 2"
"SWEEP AVERAGING: OFF"
"POINT AVERAGING: OFF"


"TRACE: A"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
4.00000000000e+01	3.854601e+01	-3.804176e+03
4.07480000000e+01	3.108704e+01	-3.728034e+03
4.15110000000e+01	3.438029e+01	-3.662743e+03
4.22870000000e+01	3.119283e+01	-3.598434e+03
4.30780000000e+01	3.670528e+01	-3.531192e+03
4.38840000000e+01	3.334282e+01	-3.468318e+03
4.47050000000e+01	3.487030e+01	-3.403865e+03
4.55410000000e+01	3.241516e+01	-3.340312e+03
4.63930000000e+01	3.280504e+01	-3.278232e+03
4.72610000000e+01	3.406499e+01	-3.222431e+03
4.81450000000e+01	3.608974e+01	-3.160345e+03
4.90460000000e+01	3.269258e+01	-3.105148e+03
4.99630000000e+01	3.296730e+01	-3.046907e+03
5.08980000000e+01	3.185405e+01	-2.991907e+03
5.18500000000e+01	3.123881e+01	-2.937052e+03
5.28200000000e+01	3.245538e+01	-2.885794e+03
5.38080000000e+01	2.690123e+01	-2.827528e+03
5.48150000000e+01	2.654497e+01	-2.780123e+03
5.58400000000e+01	2.799311e+01	-2.724823e+03
5.68850000000e+01	2.590707e+01	-2.679984e+03
5.79490000000e+01	2.468116e+01	-2.629798e+03
5.90330000000e+01	2.953379e+01	-2.579544e+03
6.01370000000e+01	2.739564e+01	-2.535067e+03
6.12620000000e+01	2.801596e+01	-2.486083e+03
6.24080000000e+01	2.521576e+01	-2.441318e+03
6.35750000000e+01	2.719108e+01	-2.396180e+03
6.47650000000e+01	2.556651e+01	-2.355471e+03
6.59760000000e+01	2.491834e+01	-2.312783e+03
6.72100000000e+01	2.467513e+01	-2.267051e+03
6.84680000000e+01	2.356934e+01	-2.227843e+03
6.97490000000e+01	2.454620e+01	-2.185134e+03
7.10530000000e+01	2.557907e+01	-2.144638e+03
7.23820000000e+01	2.465456e+01	-2.106658e+03
7.37360000000e+01	2.484770e+01	-2.069396e+03
7.51160000000e+01	2.379052e+01	-2.031743e+03
7.65210000000e+01	2.385631e+01	-1.993058e+03
7.79520000000e+01	2.318956e+01	-1.956748e+03
7.94110000000e+01	2.341844e+01	-1.922243e+03
8.08960000000e+01	2.148699e+01	-1.887515e+03
8.24100000000e+01	2.303407e+01	-1.850614e+03
8.39510000000e+01	2.310572e+01	-1.819121e+03
8.55220000000e+01	2.500235e+01	-1.785349e+03
8.71210000000e+01	2.344317e+01	-1.750714e+03
8.87510000000e+01	2.088356e+01	-1.720177e+03
9.04110000000e+01	2.069023e+01	-1.688804e+03
9.21030000000e+01	2.091461e+01	-1.657710e+03
9.38260000000e+01	2.143657e+01	-1.627211e+03
9.55810000000e+01	2.085063e+01	-1.598425e+03
9.73690000000e+01	2.083372e+01	-1.569334e+03
9.91900000000e+01	2.069436e+01	-1.540033e+03
1.01046000000e+02	2.150618e+01	-1.511881e+03
1.02936000000e+02	1.989980e+01	-1.483656e+03
1.04862000000e+02	1.949681e+01	-1.456270e+03
1.06823000000e+02	1.993757e+01	-1.430527e+03
1.08822000000e+02	1.914700e+01	-1.404938e+03
1.10857000000e+02	1.995929e+01	-1.380105e+03
1.12931000000e+02	1.911988e+01	-1.353325e+03
1.15044000000e+02	1.894591e+01	-1.328651e+03
1.17196000000e+02	1.885680e+01	-1.304252e+03
1.19388000000e+02	1.947080e+01	-1.280034e+03
1.21621000000e+02	1.902068e+01	-1.257315e+03
1.23897000000e+02	1.839592e+01	-1.234131e+03
1.26214000000e+02	1.892920e+01	-1.212265e+03
1.28575000000e+02	1.792291e+01	-1.189618e+03
1.30980000000e+02	1.696598e+01	-1.168647e+03
1.33431000000e+02	1.714555e+01	-1.146970e+03
1.35927000000e+02	1.754423e+01	-1.125448e+03
1.38469000000e+02	1.683367e+01	-1.105513e+03
1.41060000000e+02	1.731869e+01	-1.085631e+03
1.43699000000e+02	1.723543e+01	-1.065596e+03
1.46387000000e+02	1.657503e+01	-1.045694e+03
1.49125000000e+02	1.613360e+01	-1.026600e+03
1.51915000000e+02	1.700835e+01	-1.008312e+03
1.54757000000e+02	1.635002e+01	-9.891781e+02
1.57652000000e+02	1.643967e+01	-9.718511e+02
1.60601000000e+02	1.668973e+01	-9.531572e+02
1.63605000000e+02	1.596401e+01	-9.371470e+02
1.66666000000e+02	1.581608e+01	-9.191090e+02
1.69783000000e+02	1.512222e+01	-9.020140e+02
1.72959000000e+02	1.553527e+01	-8.865647e+02
1.76195000000e+02	1.577186e+01	-8.702473e+02
1.79491000000e+02	1.532784e+01	-8.545544e+02
1.82849000000e+02	1.543235e+01	-8.389138e+02
1.86269000000e+02	1.507353e+01	-8.228586e+02
1.89754000000e+02	1.530972e+01	-8.086893e+02
1.93303000000e+02	1.464518e+01	-7.940587e+02
1.96919000000e+02	1.497231e+01	-7.791759e+02
2.00603000000e+02	1.495409e+01	-7.652992e+02
2.04356000000e+02	1.425417e+01	-7.509786e+02
2.08178000000e+02	1.443724e+01	-7.370161e+02
2.12073000000e+02	1.408306e+01	-7.234382e+02
2.16040000000e+02	1.472668e+01	-7.109277e+02
2.20081000000e+02	1.428194e+01	-6.971370e+02
2.24198000000e+02	1.374913e+01	-6.849025e+02
2.28392000000e+02	1.435486e+01	-6.724249e+02
2.32665000000e+02	1.337419e+01	-6.604938e+02
2.37017000000e+02	1.365652e+01	-6.484427e+02
2.41451000000e+02	1.398762e+01	-6.370699e+02
2.45968000000e+02	1.377014e+01	-6.251882e+02
2.50569000000e+02	1.336114e+01	-6.136011e+02
2.55256000000e+02	1.312486e+01	-6.022822e+02
2.60031000000e+02	1.327806e+01	-5.913175e+02
2.64896000000e+02	1.322016e+01	-5.806886e+02
2.69851000000e+02	1.294132e+01	-5.694413e+02
2.74899000000e+02	1.233411e+01	-5.592341e+02
2.80042000000e+02	1.239950e+01	-5.496982e+02
2.85280000000e+02	1.253918e+01	-5.395947e+02
2.90617000000e+02	1.273249e+01	-5.301869e+02
2.96053000000e+02	1.195426e+01	-5.200254e+02
3.01591000000e+02	1.293806e+01	-5.107693e+02
3.07233000000e+02	1.259707e+01	-5.016712e+02
3.12981000000e+02	1.266194e+01	-4.928328e+02
3.18835000000e+02	1.246976e+01	-4.832634e+02
3.24800000000e+02	1.206692e+01	-4.748218e+02
3.30876000000e+02	1.210563e+01	-4.663211e+02
3.37065000000e+02	1.190218e+01	-4.577021e+02
3.43371000000e+02	1.182752e+01	-4.488266e+02
3.49794000000e+02	1.149832e+01	-4.408718e+02
3.56338000000e+02	1.185421e+01	-4.334284e+02
3.63003000000e+02	1.178242e+01	-4.251559e+02
3.69794000000e+02	1.106141e+01	-4.177137e+02
3.76712000000e+02	1.191417e+01	-4.096945e+02
3.83759000000e+02	1.158698e+01	-4.023469e+02
3.90938000000e+02	1.126485e+01	-3.948435e+02
3.98251000000e+02	1.137627e+01	-3.876381e+02
4.05701000000e+02	1.112127e+01	-3.807288e+02
4.13290000000e+02	1.124060e+01	-3.740035e+02
4.21021000000e+02	1.129980e+01	-3.671313e+02
4.28897000000e+02	1.076792e+01	-3.605297e+02
4.36920000000e+02	1.100682e+01	-3.541738e+02
4.45094000000e+02	1.102675e+01	-3.474724e+02
4.53420000000e+02	1.108194e+01	-3.409204e+02
4.61902000000e+02	1.047782e+01	-3.348413e+02
4.70543000000e+02	1.112382e+01	-3.291068e+02
4.79345000000e+02	1.074676e+01	-3.227576e+02
4.88312000000e+02	1.081620e+01	-3.171910e+02
4.97447000000e+02	9.928207e+00	-3.113494e+02
5.06752000000e+02	1.041969e+01	-3.059533e+02
