4294A REV1.11
"DATE:     20 -100"


"MEASURE PARAMETER: Cs - Rs"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 200"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  10 mVolt"
"DC BIAS:  5 Volt"
"BW: 2"
"SWEEP AVERAGING: OFF"
"POINT AVERAGING: OFF"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
4.00000000000e+01	2.599884e-06	0.000000e+00
4.30940000000e+01	2.598534e-06	0.000000e+00
4.64280000000e+01	2.597809e-06	0.000000e+00
5.00190000000e+01	2.594492e-06	0.000000e+00
5.38880000000e+01	2.594909e-06	0.000000e+00
5.80570000000e+01	2.589941e-06	0.000000e+00
6.25480000000e+01	2.585795e-06	0.000000e+00
6.73860000000e+01	2.584470e-06	0.000000e+00
7.25980000000e+01	2.582603e-06	0.000000e+00
7.82140000000e+01	2.579390e-06	0.000000e+00
8.42640000000e+01	2.578830e-06	0.000000e+00
9.07830000000e+01	2.572897e-06	0.000000e+00
9.78050000000e+01	2.572206e-06	0.000000e+00
1.05371000000e+02	2.568864e-06	0.000000e+00
1.13522000000e+02	2.565790e-06	0.000000e+00
1.22303000000e+02	2.562291e-06	0.000000e+00
1.31764000000e+02	2.561840e-06	0.000000e+00
1.41956000000e+02	2.559765e-06	0.000000e+00
1.52937000000e+02	2.554713e-06	0.000000e+00
1.64767000000e+02	2.554098e-06	0.000000e+00
1.77513000000e+02	2.548216e-06	0.000000e+00
1.91244000000e+02	2.548176e-06	0.000000e+00
2.06037000000e+02	2.545057e-06	0.000000e+00
2.21975000000e+02	2.541238e-06	0.000000e+00
2.39146000000e+02	2.539633e-06	0.000000e+00
2.57645000000e+02	2.535629e-06	0.000000e+00
2.77575000000e+02	2.537151e-06	0.000000e+00
2.99046000000e+02	2.531643e-06	0.000000e+00
3.22179000000e+02	2.529923e-06	0.000000e+00
3.47100000000e+02	2.525449e-06	0.000000e+00
3.73950000000e+02	2.522937e-06	0.000000e+00
4.02877000000e+02	2.523537e-06	0.000000e+00
4.34041000000e+02	2.516690e-06	0.000000e+00
4.67616000000e+02	2.512779e-06	0.000000e+00
5.03788000000e+02	2.511234e-06	0.000000e+00
5.42758000000e+02	2.510225e-06	0.000000e+00
5.84742000000e+02	2.506795e-06	0.000000e+00
6.29974000000e+02	2.500452e-06	0.000000e+00
6.78705000000e+02	2.498784e-06	0.000000e+00
7.31206000000e+02	2.499277e-06	0.000000e+00
7.87768000000e+02	2.496472e-06	0.000000e+00
8.48705000000e+02	2.494683e-06	0.000000e+00
9.14356000000e+02	2.486284e-06	0.000000e+00
9.85085000000e+02	2.483161e-06	0.000000e+00
1.06128500000e+03	2.483037e-06	0.000000e+00
1.14338000000e+03	2.478129e-06	0.000000e+00
1.23182500000e+03	2.470455e-06	0.000000e+00
1.32711100000e+03	2.474510e-06	0.000000e+00
1.42976900000e+03	2.464434e-06	0.000000e+00
1.54036700000e+03	2.453337e-06	0.000000e+00
1.65952100000e+03	2.460814e-06	0.000000e+00
1.78789200000e+03	2.447802e-06	0.000000e+00
1.92619300000e+03	2.444592e-06	0.000000e+00
2.07519100000e+03	2.452898e-06	0.000000e+00
2.23571600000e+03	2.422915e-06	0.000000e+00
2.40865800000e+03	2.435263e-06	0.000000e+00
2.59497700000e+03	2.424201e-06	0.000000e+00
2.79570900000e+03	2.427509e-06	0.000000e+00
3.01196800000e+03	2.419015e-06	0.000000e+00
3.24495700000e+03	2.431665e-06	0.000000e+00
3.49596700000e+03	2.382967e-06	0.000000e+00
3.76639400000e+03	2.408795e-06	0.000000e+00
4.05774000000e+03	2.396425e-06	0.000000e+00
4.37162300000e+03	2.389354e-06	0.000000e+00
4.70978600000e+03	2.389247e-06	0.000000e+00
5.07410700000e+03	2.378747e-06	0.000000e+00
5.46661000000e+03	2.386857e-06	0.000000e+00
5.88947400000e+03	2.352374e-06	0.000000e+00
6.34504900000e+03	2.367208e-06	0.000000e+00
6.83586400000e+03	2.332409e-06	0.000000e+00
