4294A REV1.11
"DATE:     20 -100"


"MEASURE PARAMETER: IMPEDANCE - ADMITTANCE"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 200"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  10 mVolt"
"DC BIAS:  5 Volt"
"BW: 2"
"SWEEP AVERAGING: OFF"
"POINT AVERAGING: OFF"


"TRACE: A"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
4.00000000000e+01	3.620695e+01	-1.577684e+03
4.30940000000e+01	3.404269e+01	-1.464001e+03
4.64280000000e+01	3.120077e+01	-1.360654e+03
5.00190000000e+01	3.059949e+01	-1.263619e+03
5.38880000000e+01	2.773350e+01	-1.173519e+03
5.80570000000e+01	2.682478e+01	-1.091020e+03
6.25480000000e+01	2.577964e+01	-1.014007e+03
6.73860000000e+01	2.372638e+01	-9.419871e+02
7.25980000000e+01	2.267330e+01	-8.746873e+02
7.82140000000e+01	2.203512e+01	-8.124377e+02
8.42640000000e+01	2.010123e+01	-7.546588e+02
9.07830000000e+01	1.896738e+01	-7.016475e+02
9.78050000000e+01	1.831487e+01	-6.514254e+02
1.05371000000e+02	1.693905e+01	-6.059982e+02
1.13522000000e+02	1.603699e+01	-5.622413e+02
1.22303000000e+02	1.560487e+01	-5.228412e+02
1.31764000000e+02	1.497045e+01	-4.857541e+02
1.41956000000e+02	1.397764e+01	-4.507519e+02
1.52937000000e+02	1.353434e+01	-4.192393e+02
1.64767000000e+02	1.326519e+01	-3.893837e+02
1.77513000000e+02	1.194887e+01	-3.618544e+02
1.91244000000e+02	1.180361e+01	-3.364119e+02
2.06037000000e+02	1.126884e+01	-3.122728e+02
2.21975000000e+02	1.078021e+01	-2.902970e+02
2.39146000000e+02	1.042132e+01	-2.697971e+02
2.57645000000e+02	9.946539e+00	-2.507219e+02
2.77575000000e+02	9.666418e+00	-2.329183e+02
2.99046000000e+02	9.452972e+00	-2.164352e+02
3.22179000000e+02	8.674067e+00	-2.011864e+02
3.47100000000e+02	8.734671e+00	-1.866470e+02
3.73950000000e+02	8.404337e+00	-1.737509e+02
4.02877000000e+02	8.201921e+00	-1.614355e+02
4.34041000000e+02	8.081421e+00	-1.501288e+02
4.67616000000e+02	7.719437e+00	-1.395444e+02
5.03788000000e+02	7.547518e+00	-1.294365e+02
5.42758000000e+02	7.444568e+00	-1.207034e+02
5.84742000000e+02	7.207046e+00	-1.120239e+02
6.29974000000e+02	7.050587e+00	-1.042200e+02
6.78705000000e+02	6.741083e+00	-9.684721e+01
7.31206000000e+02	6.604719e+00	-9.008441e+01
7.87768000000e+02	6.505907e+00	-8.383759e+01
8.48705000000e+02	6.312041e+00	-7.801662e+01
9.14356000000e+02	6.126823e+00	-7.250066e+01
9.85085000000e+02	5.890971e+00	-6.750981e+01
1.06128500000e+03	5.877089e+00	-6.269731e+01
1.14338000000e+03	5.773212e+00	-5.848274e+01
1.23182500000e+03	5.670352e+00	-5.434535e+01
1.32711100000e+03	5.517364e+00	-5.051789e+01
1.42976900000e+03	5.338642e+00	-4.701871e+01
1.54036700000e+03	5.256600e+00	-4.380298e+01
1.65952100000e+03	5.151101e+00	-4.081803e+01
1.78789200000e+03	4.959671e+00	-3.806680e+01
1.92619300000e+03	4.843640e+00	-3.536719e+01
2.07519100000e+03	4.805170e+00	-3.290119e+01
2.23571600000e+03	4.692861e+00	-3.075786e+01
2.40865800000e+03	4.560335e+00	-2.863517e+01
2.59497700000e+03	4.449519e+00	-2.664362e+01
2.79570900000e+03	4.362721e+00	-2.490105e+01
3.01196800000e+03	4.288621e+00	-2.321150e+01
3.24495700000e+03	4.138788e+00	-2.159256e+01
3.49596700000e+03	4.029613e+00	-2.016779e+01
3.76639400000e+03	3.935532e+00	-1.879574e+01
4.05774000000e+03	3.876735e+00	-1.754158e+01
4.37162300000e+03	3.778688e+00	-1.634453e+01
4.70978600000e+03	3.715030e+00	-1.529305e+01
5.07410700000e+03	3.639546e+00	-1.425770e+01
5.46661000000e+03	3.534609e+00	-1.329720e+01
5.88947400000e+03	3.500029e+00	-1.235597e+01
6.34504900000e+03	3.422267e+00	-1.161351e+01
6.83586400000e+03	3.322805e+00	-1.080895e+01
7.36464600000e+03	3.289601e+00	-1.007065e+01
7.93433200000e+03	3.202835e+00	-9.383137e+00
8.54808400000e+03	3.137127e+00	-8.777042e+00
9.20931400000e+03	3.078567e+00	-8.202660e+00
9.92169100000e+03	3.034663e+00	-7.651520e+00
1.06891750000e+04	2.946166e+00	-7.156062e+00
1.15160260000e+04	2.944156e+00	-6.669115e+00
1.24068370000e+04	2.888112e+00	-6.215077e+00
1.33665570000e+04	2.833895e+00	-5.815055e+00
1.44005140000e+04	2.796685e+00	-5.402530e+00
1.55144520000e+04	2.747717e+00	-5.040636e+00
1.67145580000e+04	2.714738e+00	-4.722116e+00
1.80074970000e+04	2.661883e+00	-4.399878e+00
1.94004510000e+04	2.662039e+00	-4.099538e+00
2.09011540000e+04	2.621010e+00	-3.836280e+00
2.25179440000e+04	2.590398e+00	-3.573891e+00
2.42597980000e+04	2.562917e+00	-3.333414e+00
