4294A REV1.11
"DATE:     20 -100"


"MEASURE PARAMETER: Cs - Rs"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 200"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  10 mVolt"
"DC BIAS:  5 Volt"
"BW: 2"
"SWEEP AVERAGING: OFF"
"POINT AVERAGING: OFF"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
4.00000000000e+01	3.335226e-02	0.000000e+00
4.30940000000e+01	2.780358e-02	0.000000e+00
4.64280000000e+01	2.280137e-02	0.000000e+00
5.00190000000e+01	1.990809e-02	0.000000e+00
5.38880000000e+01	1.705818e-02	0.000000e+00
5.80570000000e+01	1.491118e-02	0.000000e+00
6.25480000000e+01	1.312321e-02	0.000000e+00
6.73860000000e+01	1.159126e-02	0.000000e+00
7.25980000000e+01	1.007230e-02	0.000000e+00
7.82140000000e+01	8.794975e-03	0.000000e+00
8.42640000000e+01	7.978004e-03	0.000000e+00
9.07830000000e+01	6.817318e-03	0.000000e+00
9.78050000000e+01	6.205601e-03	0.000000e+00
1.05371000000e+02	5.465238e-03	0.000000e+00
1.13522000000e+02	4.933735e-03	0.000000e+00
1.22303000000e+02	4.368017e-03	0.000000e+00
1.31764000000e+02	3.898110e-03	0.000000e+00
1.41956000000e+02	3.532500e-03	0.000000e+00
1.52937000000e+02	3.203942e-03	0.000000e+00
1.64767000000e+02	2.853425e-03	0.000000e+00
1.77513000000e+02	2.585136e-03	0.000000e+00
1.91244000000e+02	2.306490e-03	0.000000e+00
2.06037000000e+02	2.057070e-03	0.000000e+00
2.21975000000e+02	1.836237e-03	0.000000e+00
2.39146000000e+02	1.655535e-03	0.000000e+00
2.57645000000e+02	1.493724e-03	0.000000e+00
2.77575000000e+02	1.354456e-03	0.000000e+00
2.99046000000e+02	1.206261e-03	0.000000e+00
3.22179000000e+02	1.109025e-03	0.000000e+00
3.47100000000e+02	9.780980e-04	0.000000e+00
3.73950000000e+02	8.809342e-04	0.000000e+00
4.02877000000e+02	7.949189e-04	0.000000e+00
4.34041000000e+02	7.069223e-04	0.000000e+00
4.67616000000e+02	6.399118e-04	0.000000e+00
5.03788000000e+02	5.740757e-04	0.000000e+00
5.42758000000e+02	5.180307e-04	0.000000e+00
5.84742000000e+02	4.562562e-04	0.000000e+00
6.29974000000e+02	4.085747e-04	0.000000e+00
6.78705000000e+02	3.666242e-04	0.000000e+00
7.31206000000e+02	3.284540e-04	0.000000e+00
7.87768000000e+02	2.963983e-04	0.000000e+00
8.48705000000e+02	2.642435e-04	0.000000e+00
9.14356000000e+02	2.380650e-04	0.000000e+00
9.85085000000e+02	2.128005e-04	0.000000e+00
1.06128500000e+03	1.895734e-04	0.000000e+00
1.14338000000e+03	1.676629e-04	0.000000e+00
1.23182500000e+03	1.527560e-04	0.000000e+00
1.32711100000e+03	1.362140e-04	0.000000e+00
1.42976900000e+03	1.217008e-04	0.000000e+00
1.54036700000e+03	1.080723e-04	0.000000e+00
1.65952100000e+03	9.769595e-05	0.000000e+00
1.78789200000e+03	8.582945e-05	0.000000e+00
1.92619300000e+03	7.642170e-05	0.000000e+00
2.07519100000e+03	6.901820e-05	0.000000e+00
2.23571600000e+03	6.198980e-05	0.000000e+00
2.40865800000e+03	5.612550e-05	0.000000e+00
2.59497700000e+03	4.943887e-05	0.000000e+00
2.79570900000e+03	4.450352e-05	0.000000e+00
3.01196800000e+03	3.953346e-05	0.000000e+00
3.24495700000e+03	3.542914e-05	0.000000e+00
3.49596700000e+03	3.209836e-05	0.000000e+00
3.76639400000e+03	2.858726e-05	0.000000e+00
4.05774000000e+03	2.578285e-05	0.000000e+00
4.37162300000e+03	2.326609e-05	0.000000e+00
4.70978600000e+03	2.103595e-05	0.000000e+00
5.07410700000e+03	1.899996e-05	0.000000e+00
5.46661000000e+03	1.727833e-05	0.000000e+00
5.88947400000e+03	1.579493e-05	0.000000e+00
6.34504900000e+03	1.452447e-05	0.000000e+00
6.83586400000e+03	1.328975e-05	0.000000e+00
7.36464600000e+03	1.225656e-05	0.000000e+00
7.93433200000e+03	1.128273e-05	0.000000e+00
8.54808400000e+03	1.048715e-05	0.000000e+00
9.20931400000e+03	9.760888e-06	0.000000e+00
9.92169100000e+03	9.092621e-06	0.000000e+00
1.06891750000e+04	8.533331e-06	0.000000e+00
1.15160260000e+04	8.053011e-06	0.000000e+00
1.24068370000e+04	7.658409e-06	0.000000e+00
1.33665570000e+04	7.275692e-06	0.000000e+00
1.44005140000e+04	6.917601e-06	0.000000e+00
1.55144520000e+04	6.590378e-06	0.000000e+00
1.67145580000e+04	6.356946e-06	0.000000e+00
1.80074970000e+04	6.101597e-06	0.000000e+00
1.94004510000e+04	5.927482e-06	0.000000e+00
2.09011540000e+04	5.764261e-06	0.000000e+00
2.25179440000e+04	5.586111e-06	0.000000e+00
2.42597980000e+04	5.450289e-06	0.000000e+00
2.61363920000e+04	5.345652e-06	0.000000e+00
2.81581490000e+04	5.232858e-06	0.000000e+00
3.03362960000e+04	5.128623e-06	0.000000e+00
3.26829320000e+04	5.034146e-06	0.000000e+00
3.52110900000e+04	4.974033e-06	0.000000e+00
3.79348110000e+04	4.901216e-06	0.000000e+00
4.08692230000e+04	4.809673e-06	0.000000e+00
4.40306230000e+04	4.750669e-06	0.000000e+00
4.74365710000e+04	4.697843e-06	0.000000e+00
5.11059830000e+04	4.654782e-06	0.000000e+00
5.50592380000e+04	4.592937e-06	0.000000e+00
5.93182940000e+04	4.575634e-06	0.000000e+00
6.39068060000e+04	4.513066e-06	0.000000e+00
6.88502570000e+04	4.455562e-06	0.000000e+00
7.41761050000e+04	4.395030e-06	0.000000e+00
7.99139280000e+04	4.382990e-06	0.000000e+00
8.60955950000e+04	4.313974e-06	0.000000e+00
9.27554400000e+04	4.278570e-06	0.000000e+00
9.99304500000e+04	4.191474e-06	0.000000e+00
1.07660477000e+05	4.129238e-06	0.000000e+00
1.15988453000e+05	4.066142e-06	0.000000e+00
1.24960632000e+05	3.989540e-06	0.000000e+00
1.34626845000e+05	3.945342e-06	0.000000e+00
1.45040779000e+05	3.907297e-06	0.000000e+00
1.56260273000e+05	3.793714e-06	0.000000e+00
1.68347641000e+05	3.732104e-06	0.000000e+00
1.81370016000e+05	3.694238e-06	0.000000e+00
1.95399724000e+05	3.602867e-06	0.000000e+00
2.10514688000e+05	3.502205e-06	0.000000e+00
2.26798855000e+05	3.476716e-06	0.000000e+00
2.44342669000e+05	3.365915e-06	0.000000e+00
2.63243569000e+05	3.301234e-06	0.000000e+00
