4294A REV1.11
"DATE:     20 -100"


"MEASURE PARAMETER: IMPEDANCE - ADMITTANCE"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 200"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  10 mVolt"
"DC BIAS:  5 Volt"
"BW: 2"
"SWEEP AVERAGING: OFF"
"POINT AVERAGING: OFF"


"TRACE: A"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
4.00000000000e+01	5.180340e+00	-1.124050e-01
4.30940000000e+01	5.168152e+00	-1.250008e-01
4.64280000000e+01	5.164828e+00	-1.423127e-01
5.00190000000e+01	5.148693e+00	-1.563701e-01
5.38880000000e+01	5.140897e+00	-1.668275e-01
5.80570000000e+01	5.122345e+00	-1.709957e-01
6.25480000000e+01	5.110366e+00	-1.789109e-01
6.73860000000e+01	5.098047e+00	-1.976970e-01
7.25980000000e+01	5.079659e+00	-2.078201e-01
7.82140000000e+01	5.068378e+00	-2.144998e-01
8.42640000000e+01	5.056664e+00	-2.277199e-01
9.07830000000e+01	5.047537e+00	-2.313211e-01
9.78050000000e+01	5.030555e+00	-2.469396e-01
1.05371000000e+02	5.012053e+00	-2.514716e-01
1.13522000000e+02	5.002509e+00	-2.611166e-01
1.22303000000e+02	4.992248e+00	-2.737238e-01
1.31764000000e+02	4.983127e+00	-2.861810e-01
1.41956000000e+02	4.970675e+00	-2.922536e-01
1.52937000000e+02	4.962968e+00	-3.035192e-01
1.64767000000e+02	4.949208e+00	-3.144679e-01
1.77513000000e+02	4.934207e+00	-3.209608e-01
1.91244000000e+02	4.928263e+00	-3.371373e-01
2.06037000000e+02	4.909284e+00	-3.445637e-01
2.21975000000e+02	4.895819e+00	-3.595342e-01
2.39146000000e+02	4.881507e+00	-3.695237e-01
2.57645000000e+02	4.864196e+00	-3.813829e-01
2.77575000000e+02	4.849967e+00	-3.952269e-01
2.99046000000e+02	4.838363e+00	-4.062340e-01
3.22179000000e+02	4.818147e+00	-4.205561e-01
3.47100000000e+02	4.803471e+00	-4.260629e-01
3.73950000000e+02	4.784040e+00	-4.541878e-01
4.02877000000e+02	4.773395e+00	-4.635208e-01
4.34041000000e+02	4.751190e+00	-4.808345e-01
4.67616000000e+02	4.735832e+00	-4.951094e-01
5.03788000000e+02	4.706684e+00	-5.173150e-01
5.42758000000e+02	4.691998e+00	-5.258476e-01
5.84742000000e+02	4.682387e+00	-5.380255e-01
6.29974000000e+02	4.658490e+00	-5.640674e-01
6.78705000000e+02	4.622930e+00	-5.901563e-01
7.31206000000e+02	4.611910e+00	-6.136026e-01
7.87768000000e+02	4.591775e+00	-6.275089e-01
8.48705000000e+02	4.556344e+00	-6.518657e-01
9.14356000000e+02	4.529788e+00	-6.762915e-01
9.85085000000e+02	4.515796e+00	-7.078890e-01
1.06128500000e+03	4.488919e+00	-7.330054e-01
1.14338000000e+03	4.454706e+00	-7.558136e-01
1.23182500000e+03	4.426965e+00	-7.881781e-01
1.32711100000e+03	4.398522e+00	-8.238145e-01
1.42976900000e+03	4.363966e+00	-8.501137e-01
1.54036700000e+03	4.329330e+00	-8.839874e-01
1.65952100000e+03	4.294216e+00	-9.065048e-01
1.78789200000e+03	4.265361e+00	-9.542911e-01
1.92619300000e+03	4.213612e+00	-9.992319e-01
2.07519100000e+03	4.183712e+00	-1.026415e+00
2.23571600000e+03	4.132194e+00	-1.060553e+00
2.40865800000e+03	4.066462e+00	-1.108234e+00
2.59497700000e+03	4.039522e+00	-1.146085e+00
2.79570900000e+03	3.976663e+00	-1.185207e+00
3.01196800000e+03	3.912290e+00	-1.237929e+00
3.24495700000e+03	3.861200e+00	-1.285954e+00
3.49596700000e+03	3.792265e+00	-1.321188e+00
3.76639400000e+03	3.709135e+00	-1.368628e+00
4.05774000000e+03	3.637688e+00	-1.412495e+00
4.37162300000e+03	3.556995e+00	-1.453174e+00
4.70978600000e+03	3.488573e+00	-1.481345e+00
5.07410700000e+03	3.381876e+00	-1.519797e+00
5.46661000000e+03	3.288834e+00	-1.573484e+00
5.88947400000e+03	3.203939e+00	-1.594449e+00
6.34504900000e+03	3.090213e+00	-1.628948e+00
6.83586400000e+03	2.986824e+00	-1.637353e+00
7.36464600000e+03	2.880994e+00	-1.662871e+00
7.93433200000e+03	2.767121e+00	-1.672491e+00
8.54808400000e+03	2.651510e+00	-1.679298e+00
9.20931400000e+03	2.542580e+00	-1.683342e+00
9.92169100000e+03	2.429747e+00	-1.670766e+00
1.06891750000e+04	2.318322e+00	-1.649215e+00
1.15160260000e+04	2.207061e+00	-1.624824e+00
1.24068370000e+04	2.094537e+00	-1.603519e+00
1.33665570000e+04	1.989164e+00	-1.580073e+00
1.44005140000e+04	1.894571e+00	-1.531451e+00
1.55144520000e+04	1.793266e+00	-1.497776e+00
1.67145580000e+04	1.705219e+00	-1.453291e+00
1.80074970000e+04	1.614577e+00	-1.395841e+00
1.94004510000e+04	1.537241e+00	-1.345659e+00
2.09011540000e+04	1.465386e+00	-1.293352e+00
2.25179440000e+04	1.387663e+00	-1.232457e+00
2.42597980000e+04	1.331931e+00	-1.172614e+00
2.61363920000e+04	1.268847e+00	-1.117564e+00
2.81581490000e+04	1.223885e+00	-1.059421e+00
3.03362960000e+04	1.173197e+00	-1.008282e+00
3.26829320000e+04	1.125982e+00	-9.481988e-01
3.52110900000e+04	1.088403e+00	-8.952318e-01
3.79348110000e+04	1.055760e+00	-8.464218e-01
4.08692230000e+04	1.024427e+00	-7.967366e-01
4.40306230000e+04	9.984462e-01	-7.514620e-01
4.74365710000e+04	9.744269e-01	-7.068092e-01
5.11059830000e+04	9.542506e-01	-6.617094e-01
5.50592380000e+04	9.373480e-01	-6.214041e-01
5.93182940000e+04	9.213790e-01	-5.831008e-01
6.39068060000e+04	9.067241e-01	-5.467237e-01
6.88502570000e+04	8.957188e-01	-5.092427e-01
7.41761050000e+04	8.820932e-01	-4.817923e-01
7.99139280000e+04	8.720722e-01	-4.502409e-01
8.60955950000e+04	8.638453e-01	-4.219572e-01
9.27554400000e+04	8.546231e-01	-3.965653e-01
9.99304500000e+04	8.457711e-01	-3.735917e-01
1.07660477000e+05	8.394270e-01	-3.540285e-01
1.15988453000e+05	8.325300e-01	-3.356240e-01
1.24960632000e+05	8.228165e-01	-3.140986e-01
1.34626845000e+05	8.186828e-01	-2.983449e-01
1.45040779000e+05	8.134295e-01	-2.824593e-01
1.56260273000e+05	8.105054e-01	-2.644768e-01
1.68347641000e+05	8.036163e-01	-2.484124e-01
1.81370016000e+05	7.996079e-01	-2.357703e-01
1.95399724000e+05	7.929953e-01	-2.238657e-01
2.10514688000e+05	7.874488e-01	-2.140952e-01
2.26798855000e+05	7.818562e-01	-2.027123e-01
2.44342669000e+05	7.749865e-01	-1.910748e-01
2.63243569000e+05	7.702096e-01	-1.823116e-01
2.83606529000e+05	7.668779e-01	-1.711431e-01
3.05544648000e+05	7.651979e-01	-1.585121e-01
3.29179770000e+05	7.555869e-01	-1.532837e-01
3.54643164000e+05	7.539006e-01	-1.456295e-01
3.82076255000e+05	7.465215e-01	-1.345707e-01
4.11631408000e+05	7.468292e-01	-1.279074e-01
4.43472771000e+05	7.429813e-01	-1.217722e-01
4.77777194000e+05	7.376691e-01	-1.106134e-01
5.14735204000e+05	7.296219e-01	-1.004842e-01
5.54552065000e+05	7.279409e-01	-9.519744e-02
5.97448923000e+05	7.247812e-01	-8.829115e-02
6.43664028000e+05	7.211257e-01	-8.246112e-02
6.93454059000e+05	7.165637e-01	-7.571812e-02
7.47095551000e+05	7.148583e-01	-6.687318e-02
8.04886431000e+05	7.127028e-01	-5.578218e-02
8.67147670000e+05	7.104331e-01	-5.057130e-02
9.34225070000e+05	7.062093e-01	-4.537032e-02
1.00649117900e+06	7.028441e-01	-3.859022e-02
1.08434736600e+06	7.060468e-01	-2.907033e-02
1.16822604500e+06	6.972544e-01	-1.620215e-02
1.25859308200e+06	7.002045e-01	-1.080585e-02
1.35595037700e+06	6.930082e-01	-2.435996e-04
1.46083865400e+06	6.886483e-01	1.301299e-03
1.57384046600e+06	6.905030e-01	1.196603e-02
1.69558342800e+06	6.842735e-01	1.585665e-02
1.82674370300e+06	6.904949e-01	2.819062e-02
1.96804975900e+06	6.884531e-01	3.166304e-02
2.12028641400e+06	6.893245e-01	3.704919e-02
2.28429919300e+06	6.869537e-01	5.918738e-02
2.46099902700e+06	6.812550e-01	6.164937e-02
2.65136731300e+06	6.844274e-01	6.934920e-02
2.85646135900e+06	6.774088e-01	8.373187e-02
3.07742026500e+06	6.780854e-01	9.678985e-02
3.31547124000e+06	6.761553e-01	1.077940e-01
3.57193642700e+06	6.748350e-01	1.227489e-01
3.84824023900e+06	6.747628e-01	1.389965e-01
4.14591727500e+06	6.735877e-01	1.528279e-01
4.46662084100e+06	6.684885e-01	1.713287e-01
4.81213213200e+06	6.712314e-01	1.855073e-01
5.18437012700e+06	6.702660e-01	2.040156e-01
5.58540224500e+06	6.701142e-01	2.241938e-01
6.01745582800e+06	6.646488e-01	2.464414e-01
6.48293051400e+06	6.634530e-01	2.647054e-01
6.98441156000e+06	6.565483e-01	2.899119e-01
7.52468420500e+06	6.644471e-01	3.139145e-01
8.10674913700e+06	6.623191e-01	3.423414e-01
8.73383915800e+06	6.621869e-01	3.752285e-01
9.40943714400e+06	6.606236e-01	4.046667e-01
1.01372953820e+07	6.574482e-01	4.394668e-01
1.09214564160e+07	6.547850e-01	4.788248e-01
1.17662754950e+07	6.518977e-01	5.186306e-01
1.26764447670e+07	6.528622e-01	5.576645e-01
1.36570193340e+07	6.565831e-01	6.042198e-01
1.47134453320e+07	6.485833e-01	6.590118e-01
1.58515901790e+07	6.487540e-01	7.095118e-01
1.70777751590e+07	6.523014e-01	7.703128e-01
1.83988105350e+07	6.541075e-01	8.288617e-01
1.98220333710e+07	6.538992e-01	8.952177e-01
2.13553482830e+07	6.529201e-01	9.682965e-01
2.30072713410e+07	6.533904e-01	1.041770e+00
2.47869773660e+07	6.526914e-01	1.127533e+00
2.67043508920e+07	6.477652e-01	1.213073e+00
2.87700410590e+07	6.516109e-01	1.310000e+00
3.09955207640e+07	6.492889e-01	1.408659e+00
3.33931503760e+07	6.480479e-01	1.522515e+00
3.59762463920e+07	6.475401e-01	1.641064e+00
3.87591553920e+07	6.494150e-01	1.770482e+00
4.17573337230e+07	6.517012e-01	1.907556e+00
4.49874333440e+07	6.528447e-01	2.055556e+00
4.84673943090e+07	6.524978e-01	2.220039e+00
5.22165444110e+07	6.617677e-01	2.390664e+00
5.62557065240e+07	6.583419e-01	2.574658e+00
6.06073142560e+07	6.604807e-01	2.773857e+00
6.52955365480e+07	6.672033e-01	2.980244e+00
7.03464119040e+07	6.698623e-01	3.211244e+00
7.57879930150e+07	6.714275e-01	3.456347e+00
8.16505025590e+07	6.867318e-01	3.724468e+00
8.79665010640e+07	6.964574e-01	4.002467e+00
9.47710677450e+07	7.117062e-01	4.307085e+00
1.02101995338e+08	7.200189e-01	4.634075e+00
1.10000000000e+08	7.350197e-01	4.982578e+00


"TRACE: B"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
4.00000000000e+01	1.929467e-01	4.186633e-03
4.30940000000e+01	1.933796e-01	4.677224e-03
4.64280000000e+01	1.934704e-01	5.330923e-03
5.00190000000e+01	1.940451e-01	5.893309e-03
5.38880000000e+01	1.943140e-01	6.305693e-03
5.80570000000e+01	1.950058e-01	6.509742e-03
6.25480000000e+01	1.954412e-01	6.842280e-03
6.73860000000e+01	1.958590e-01	7.595210e-03
7.25980000000e+01	1.965346e-01	8.040667e-03
7.82140000000e+01	1.969490e-01	8.335115e-03
8.42640000000e+01	1.973586e-01	8.887773e-03
9.07830000000e+01	1.977012e-01	9.060353e-03
9.78050000000e+01	1.983074e-01	9.734503e-03
1.05371000000e+02	1.990181e-01	9.985410e-03
1.13522000000e+02	1.993565e-01	1.040584e-02
1.22303000000e+02	1.997102e-01	1.095007e-02
1.31764000000e+02	2.000175e-01	1.148701e-02
1.41956000000e+02	2.004869e-01	1.178774e-02
1.52937000000e+02	2.007415e-01	1.227671e-02
1.64767000000e+02	2.012401e-01	1.278660e-02
1.77513000000e+02	2.018129e-01	1.312755e-02
1.91244000000e+02	2.019661e-01	1.381629e-02
2.06037000000e+02	2.026972e-01	1.422653e-02
2.21975000000e+02	2.031603e-01	1.491948e-02
2.39146000000e+02	2.036876e-01	1.541889e-02
2.57645000000e+02	2.043277e-01	1.602055e-02
2.77575000000e+02	2.048268e-01	1.669146e-02
2.99046000000e+02	2.052347e-01	1.723172e-02
3.22179000000e+02	2.059794e-01	1.797909e-02
3.47100000000e+02	2.065577e-01	1.832146e-02
3.73950000000e+02	2.071611e-01	1.966749e-02
4.02877000000e+02	2.075376e-01	2.015295e-02
4.34041000000e+02	2.083398e-01	2.108460e-02
4.67616000000e+02	2.088732e-01	2.183673e-02
5.03788000000e+02	2.099278e-01	2.307332e-02
5.42758000000e+02	2.104851e-01	2.358975e-02
5.84742000000e+02	2.107833e-01	2.421987e-02
6.29974000000e+02	2.115601e-01	2.561648e-02
6.78705000000e+02	2.128444e-01	2.717140e-02
7.31206000000e+02	2.130584e-01	2.834687e-02
7.87768000000e+02	2.137880e-01	2.921613e-02
8.48705000000e+02	2.150720e-01	3.076986e-02
9.14356000000e+02	2.159474e-01	3.224066e-02
9.85085000000e+02	2.161338e-01	3.388080e-02
1.06128500000e+03	2.169850e-01	3.543196e-02
1.14338000000e+03	2.182004e-01	3.702126e-02
1.23182500000e+03	2.189481e-01	3.898158e-02
1.32711100000e+03	2.196442e-01	4.113793e-02
