4294A REV1.11
"DATE:     25 -100"


"MEASURE PARAMETER: Cs - Rs"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 201"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  10 mVolt"
"DC BIAS:  5 Volt"
"BW: 1"
"SWEEP AVERAGING: OFF"
"POINT AVERAGING: OFF"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
4.00000000000e+01	2.625802e-06	0.000000e+00
4.30780000000e+01	2.624442e-06	0.000000e+00
4.63930000000e+01	2.622184e-06	0.000000e+00
4.99630000000e+01	2.620612e-06	0.000000e+00
5.38080000000e+01	2.618805e-06	0.000000e+00
5.79490000000e+01	2.616254e-06	0.000000e+00
6.24080000000e+01	2.613720e-06	0.000000e+00
6.72100000000e+01	2.611265e-06	0.000000e+00
7.23820000000e+01	2.609394e-06	0.000000e+00
7.79520000000e+01	2.604365e-06	0.000000e+00
8.39510000000e+01	2.601852e-06	0.000000e+00
9.04110000000e+01	2.601143e-06	0.000000e+00
9.73690000000e+01	2.598286e-06	0.000000e+00
1.04862000000e+02	2.595036e-06	0.000000e+00
1.12931000000e+02	2.594223e-06	0.000000e+00
1.21621000000e+02	2.591490e-06	0.000000e+00
1.30980000000e+02	2.587084e-06	0.000000e+00
1.41060000000e+02	2.586060e-06	0.000000e+00
1.51915000000e+02	2.582961e-06	0.000000e+00
1.63605000000e+02	2.577663e-06	0.000000e+00
1.76195000000e+02	2.577489e-06	0.000000e+00
1.89754000000e+02	2.576165e-06	0.000000e+00
2.04356000000e+02	2.574704e-06	0.000000e+00
2.20081000000e+02	2.571159e-06	0.000000e+00
2.37017000000e+02	2.566763e-06	0.000000e+00
2.55256000000e+02	2.564586e-06	0.000000e+00
2.74899000000e+02	2.558737e-06	0.000000e+00
2.96053000000e+02	2.558228e-06	0.000000e+00
3.18835000000e+02	2.552160e-06	0.000000e+00
3.43371000000e+02	2.553269e-06	0.000000e+00
3.69794000000e+02	2.548036e-06	0.000000e+00
3.98251000000e+02	2.545203e-06	0.000000e+00
4.28897000000e+02	2.542983e-06	0.000000e+00
4.61902000000e+02	2.538635e-06	0.000000e+00
4.97447000000e+02	2.533548e-06	0.000000e+00
5.35727000000e+02	2.532413e-06	0.000000e+00
5.76952000000e+02	2.525152e-06	0.000000e+00
6.21350000000e+02	2.519218e-06	0.000000e+00
6.69165000000e+02	2.514082e-06	0.000000e+00
7.20659000000e+02	2.509739e-06	0.000000e+00
7.76116000000e+02	2.503690e-06	0.000000e+00
8.35840000000e+02	2.501427e-06	0.000000e+00
9.00160000000e+02	2.497156e-06	0.000000e+00
9.69430000000e+02	2.493210e-06	0.000000e+00
1.04403000000e+03	2.482642e-06	0.000000e+00
1.12437200000e+03	2.473436e-06	0.000000e+00
1.21089500000e+03	2.469350e-06	0.000000e+00
1.30407700000e+03	2.462980e-06	0.000000e+00
1.40442900000e+03	2.454171e-06	0.000000e+00
1.51250400000e+03	2.447719e-06	0.000000e+00
1.62889500000e+03	2.440651e-06	0.000000e+00
1.75424300000e+03	2.433749e-06	0.000000e+00
1.88923700000e+03	2.426897e-06	0.000000e+00
2.03461900000e+03	2.413332e-06	0.000000e+00
2.19118900000e+03	2.397919e-06	0.000000e+00
2.35980700000e+03	2.393983e-06	0.000000e+00
2.54140100000e+03	2.389909e-06	0.000000e+00
2.73696900000e+03	2.368643e-06	0.000000e+00
2.94758600000e+03	2.360509e-06	0.000000e+00
3.17441100000e+03	2.350996e-06	0.000000e+00
3.41869100000e+03	2.338726e-06	0.000000e+00
3.68176800000e+03	2.332028e-06	0.000000e+00
3.96509100000e+03	2.321186e-06	0.000000e+00
4.27021500000e+03	2.302063e-06	0.000000e+00
4.59882000000e+03	2.293233e-06	0.000000e+00
4.95271200000e+03	2.270085e-06	0.000000e+00
5.33383700000e+03	2.268373e-06	0.000000e+00
5.74429100000e+03	2.253707e-06	0.000000e+00
6.18633000000e+03	2.244583e-06	0.000000e+00
6.66238600000e+03	2.228487e-06	0.000000e+00
7.17507500000e+03	2.225583e-06	0.000000e+00
7.72721700000e+03	2.209120e-06	0.000000e+00
8.32184800000e+03	2.184965e-06	0.000000e+00
8.96223700000e+03	2.186554e-06	0.000000e+00
9.65190600000e+03	2.170363e-06	0.000000e+00
1.03946470000e+04	2.161300e-06	0.000000e+00
1.11945440000e+04	2.138441e-06	0.000000e+00
1.20559960000e+04	2.143802e-06	0.000000e+00
1.29837380000e+04	2.123578e-06	0.000000e+00
1.39828730000e+04	2.098483e-06	0.000000e+00
1.50588940000e+04	2.084259e-06	0.000000e+00
1.62177180000e+04	2.075989e-06	0.000000e+00
1.74657160000e+04	2.072887e-06	0.000000e+00
1.88097520000e+04	2.059163e-06	0.000000e+00
2.02572140000e+04	2.050060e-06	0.000000e+00
2.18160630000e+04	2.045709e-06	0.000000e+00
2.34948700000e+04	2.011205e-06	0.000000e+00
2.53028660000e+04	2.002454e-06	0.000000e+00
2.72499920000e+04	2.007005e-06	0.000000e+00
2.93469550000e+04	1.996227e-06	0.000000e+00
3.16052840000e+04	1.987898e-06	0.000000e+00
3.40373990000e+04	1.977688e-06	0.000000e+00
3.66566720000e+04	1.973251e-06	0.000000e+00
3.94775050000e+04	1.964537e-06	0.000000e+00
4.25154090000e+04	1.944665e-06	0.000000e+00
4.57870880000e+04	1.947256e-06	0.000000e+00
4.93105320000e+04	1.938513e-06	0.000000e+00
5.31051140000e+04	1.927457e-06	0.000000e+00
5.71917010000e+04	1.926999e-06	0.000000e+00
6.15927610000e+04	1.902438e-06	0.000000e+00
6.63324960000e+04	1.894458e-06	0.000000e+00
7.14369660000e+04	1.889731e-06	0.000000e+00
7.69342400000e+04	1.894387e-06	0.000000e+00
8.28545430000e+04	1.887107e-06	0.000000e+00
8.92304310000e+04	1.871660e-06	0.000000e+00
9.60969610000e+04	1.865456e-06	0.000000e+00
1.03491890000e+05	1.872894e-06	0.000000e+00
1.11455879000e+05	1.860033e-06	0.000000e+00
1.20032720000e+05	1.860612e-06	0.000000e+00
1.29269572000e+05	1.851883e-06	0.000000e+00
1.39217225000e+05	1.848327e-06	0.000000e+00
1.49930378000e+05	1.845794e-06	0.000000e+00
1.61467938000e+05	1.853760e-06	0.000000e+00
1.73893346000e+05	1.826130e-06	0.000000e+00
1.87274923000e+05	1.854321e-06	0.000000e+00
2.01686250000e+05	1.856611e-06	0.000000e+00
2.17206568000e+05	1.876837e-06	0.000000e+00
2.33921218000e+05	1.834785e-06	0.000000e+00
2.51922107000e+05	1.861402e-06	0.000000e+00
2.71308215000e+05	1.852435e-06	0.000000e+00
2.92186138000e+05	1.889206e-06	0.000000e+00
3.14670675000e+05	1.932772e-06	0.000000e+00
3.38885459000e+05	1.895940e-06	0.000000e+00
3.64963639000e+05	1.939442e-06	0.000000e+00
3.93048607000e+05	1.942157e-06	0.000000e+00
4.23294792000e+05	2.121328e-06	0.000000e+00
4.55868505000e+05	2.133354e-06	0.000000e+00
4.90948855000e+05	2.227570e-06	0.000000e+00
5.28728737000e+05	2.164400e-06	0.000000e+00
5.69415885000e+05	2.456851e-06	0.000000e+00
6.13234023000e+05	2.821788e-06	0.000000e+00
6.60424089000e+05	2.718356e-06	0.000000e+00
7.11245562000e+05	2.937117e-06	0.000000e+00
7.65977888000e+05	3.965540e-06	0.000000e+00
8.24922019000e+05	4.641171e-06	0.000000e+00
8.88402066000e+05	7.882771e-06	0.000000e+00
9.56767078000e+05	1.626466e-05	0.000000e+00
1.03039296900e+06	2.985422e-04	0.000000e+00
1.10968457700e+06	-2.785715e-05	0.000000e+00
1.19507789500e+06	-4.453376e-06	0.000000e+00
1.28704246700e+06	-2.149941e-06	0.000000e+00
1.38608396800e+06	-2.010037e-06	0.000000e+00
1.49274698900e+06	-1.488808e-06	0.000000e+00
1.60761802700e+06	-1.272765e-06	0.000000e+00
1.73132871000e+06	-9.146137e-07	0.000000e+00
1.86455927500e+06	-6.968130e-07	0.000000e+00
2.00804230300e+06	-5.255469e-07	0.000000e+00
2.16256675000e+06	-4.672494e-07	0.000000e+00
2.32898228300e+06	-3.944221e-07	0.000000e+00
2.50820395400e+06	-3.045342e-07	0.000000e+00
2.70121723300e+06	-2.726928e-07	0.000000e+00
2.90908342000e+06	-2.306020e-07	0.000000e+00
3.13294549000e+06	-2.004140e-07	0.000000e+00
3.37403436900e+06	-1.725245e-07	0.000000e+00
3.63367570800e+06	-1.472123e-07	0.000000e+00
3.91329717200e+06	-1.260151e-07	0.000000e+00
4.21443628600e+06	-1.093307e-07	0.000000e+00
4.53874889300e+06	-9.320615e-08	0.000000e+00
4.88801825800e+06	-8.178164e-08	0.000000e+00
5.26416487400e+06	-7.103142e-08	0.000000e+00
5.66925701900e+06	-6.014015e-08	0.000000e+00
6.10552213200e+06	-5.204321e-08	0.000000e+00
6.57535906100e+06	-4.519723e-08	0.000000e+00
7.08135124900e+06	-3.970807e-08	0.000000e+00
7.62628094600e+06	-3.389521e-08	0.000000e+00
8.21314450000e+06	-2.909380e-08	0.000000e+00
8.84516883800e+06	-2.536074e-08	0.000000e+00
9.52582920900e+06	-2.202251e-08	0.000000e+00
1.02588682910e+07	-1.931467e-08	0.000000e+00
1.10483167720e+07	-1.654309e-08	0.000000e+00
1.18985155110e+07	-1.442262e-08	0.000000e+00
1.28141394100e+07	-1.258825e-08	0.000000e+00
1.38002231190e+07	-1.080742e-08	0.000000e+00
1.48621887140e+07	-9.360599e-09	0.000000e+00
1.60058755190e+07	-8.155253e-09	0.000000e+00
1.72375722070e+07	-7.110126e-09	0.000000e+00
1.85640513860e+07	-6.120110e-09	0.000000e+00
1.99926068310e+07	-5.295901e-09	0.000000e+00
2.15310935960e+07	-4.611199e-09	0.000000e+00
2.31879712010e+07	-3.993373e-09	0.000000e+00
2.49723501510e+07	-3.457914e-09	0.000000e+00
2.68940420290e+07	-3.007922e-09	0.000000e+00
2.89636134490e+07	-2.601150e-09	0.000000e+00
3.11924441520e+07	-2.262690e-09	0.000000e+00
3.35927895840e+07	-1.951216e-09	0.000000e+00
3.61778482800e+07	-1.696144e-09	0.000000e+00
3.89618344410e+07	-1.463426e-09	0.000000e+00
4.19600560900e+07	-1.273875e-09	0.000000e+00
4.51889992420e+07	-1.099740e-09	0.000000e+00
4.86664185610e+07	-9.524146e-10	0.000000e+00
5.24114349790e+07	-8.233304e-10	0.000000e+00
5.64446408390e+07	-7.138753e-10	0.000000e+00
6.07882131190e+07	-6.162397e-10	0.000000e+00
6.54660353810e+07	-5.353789e-10	0.000000e+00
7.05038290920e+07	-4.642601e-10	0.000000e+00
7.59292950560e+07	-4.009550e-10	0.000000e+00
8.17722657330e+07	-3.476477e-10	0.000000e+00
8.80648692730e+07	-3.012924e-10	0.000000e+00
9.48417061770e+07	-2.609765e-10	0.000000e+00
1.02140039551e+08	-2.262395e-10	0.000000e+00
1.10000000000e+08	-1.963661e-10	0.000000e+00


"TRACE: B"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
4.00000000000e+01	3.747733e+01	0.000000e+00
4.30780000000e+01	3.387074e+01	0.000000e+00
4.63930000000e+01	3.369414e+01	0.000000e+00
4.99630000000e+01	3.031173e+01	0.000000e+00
5.38080000000e+01	2.931483e+01	0.000000e+00
5.79490000000e+01	2.630576e+01	0.000000e+00
6.24080000000e+01	2.417154e+01	0.000000e+00
6.72100000000e+01	2.300808e+01	0.000000e+00
7.23820000000e+01	2.232882e+01	0.000000e+00
7.79520000000e+01	2.127624e+01	0.000000e+00
8.39510000000e+01	2.020366e+01	0.000000e+00
9.04110000000e+01	1.820847e+01	0.000000e+00
9.73690000000e+01	1.789157e+01	0.000000e+00
1.04862000000e+02	1.662897e+01	0.000000e+00
1.12931000000e+02	1.618162e+01	0.000000e+00
