4294A REV1.11
"DATE:     25 -100"


"MEASURE PARAMETER: IMPEDANCE - ADMITTANCE"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 201"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  10 mVolt"
"DC BIAS:  5 Volt"
"BW: 1"
"SWEEP AVERAGING: OFF"
"POINT AVERAGING: OFF"


"TRACE: A"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
4.00000000000e+01	3.818349e+01	-1.512068e+03
4.30780000000e+01	3.616480e+01	-1.405436e+03
4.63930000000e+01	3.320496e+01	-1.305636e+03
4.99630000000e+01	3.156005e+01	-1.213896e+03
5.38080000000e+01	2.941135e+01	-1.127082e+03
5.79490000000e+01	2.680212e+01	-1.048696e+03
6.24080000000e+01	2.527891e+01	-9.748573e+02
6.72100000000e+01	2.362453e+01	-9.056968e+02
7.23820000000e+01	2.276075e+01	-8.418035e+02
7.79520000000e+01	2.163266e+01	-7.824036e+02
8.39510000000e+01	2.042323e+01	-7.273097e+02
9.04110000000e+01	1.896352e+01	-6.757716e+02
9.73690000000e+01	1.799579e+01	-6.282466e+02
1.04862000000e+02	1.733668e+01	-5.843031e+02
1.12931000000e+02	1.615617e+01	-5.431692e+02
1.21621000000e+02	1.524989e+01	-5.042417e+02
1.30980000000e+02	1.457477e+01	-4.688026e+02
1.41060000000e+02	1.401411e+01	-4.356406e+02
1.51915000000e+02	1.305449e+01	-4.048280e+02
1.63605000000e+02	1.290479e+01	-3.764680e+02
1.76195000000e+02	1.227567e+01	-3.498619e+02
1.89754000000e+02	1.124293e+01	-3.253136e+02
2.04356000000e+02	1.105470e+01	-3.025491e+02
2.20081000000e+02	1.069085e+01	-2.810909e+02
2.37017000000e+02	1.015908e+01	-2.613182e+02
2.55256000000e+02	9.821411e+00	-2.428747e+02
2.74899000000e+02	9.434322e+00	-2.257794e+02
2.96053000000e+02	8.998377e+00	-2.099548e+02
3.18835000000e+02	8.664722e+00	-1.953479e+02
3.43371000000e+02	8.337288e+00	-1.814244e+02
3.69794000000e+02	8.359793e+00	-1.686112e+02
3.98251000000e+02	8.085060e+00	-1.568188e+02
4.28897000000e+02	7.702113e+00	-1.458312e+02
4.61902000000e+02	7.260406e+00	-1.356770e+02
4.97447000000e+02	7.255440e+00	-1.262429e+02
5.35727000000e+02	7.120052e+00	-1.173840e+02
5.76952000000e+02	6.950500e+00	-1.090900e+02
6.21350000000e+02	6.739997e+00	-1.013423e+02
