4294A REV1.11
"DATE:     37 -100"


"MEASURE PARAMETER: Cs - Rs"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 201"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  10 mVolt"
"DC BIAS:  5 Volt CONSTANT"
"BW: 2"
"SWEEP AVERAGING: OFF"
"POINT AVERAGING: OFF"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
4.00000000000e+01	3.219682e-06	0.000000e+00
4.24170000000e+01	3.217819e-06	0.000000e+00
4.49810000000e+01	3.213749e-06	0.000000e+00
4.76990000000e+01	3.213681e-06	0.000000e+00
5.05820000000e+01	3.212058e-06	0.000000e+00
5.36390000000e+01	3.210259e-06	0.000000e+00
5.68810000000e+01	3.204712e-06	0.000000e+00
6.03190000000e+01	3.203286e-06	0.000000e+00
6.39640000000e+01	3.202583e-06	0.000000e+00
6.78300000000e+01	3.198634e-06	0.000000e+00
7.19290000000e+01	3.194581e-06	0.000000e+00
7.62760000000e+01	3.191151e-06	0.000000e+00
8.08860000000e+01	3.188362e-06	0.000000e+00
8.57750000000e+01	3.185320e-06	0.000000e+00
9.09590000000e+01	3.187343e-06	0.000000e+00
9.64560000000e+01	3.181276e-06	0.000000e+00
1.02285000000e+02	3.180301e-06	0.000000e+00
1.08467000000e+02	3.176812e-06	0.000000e+00
1.15022000000e+02	3.174116e-06	0.000000e+00
1.21974000000e+02	3.171599e-06	0.000000e+00
1.29345000000e+02	3.170356e-06	0.000000e+00
1.37163000000e+02	3.172112e-06	0.000000e+00
1.45452000000e+02	3.164400e-06	0.000000e+00
1.54243000000e+02	3.162524e-06	0.000000e+00
1.63565000000e+02	3.161400e-06	0.000000e+00
1.73450000000e+02	3.161113e-06	0.000000e+00
1.83932000000e+02	3.155898e-06	0.000000e+00
1.95049000000e+02	3.155126e-06	0.000000e+00
2.06837000000e+02	3.149087e-06	0.000000e+00
2.19337000000e+02	3.145842e-06	0.000000e+00
2.32593000000e+02	3.143462e-06	0.000000e+00
2.46650000000e+02	3.137932e-06	0.000000e+00
2.61557000000e+02	3.140820e-06	0.000000e+00
2.77364000000e+02	3.133197e-06	0.000000e+00
2.94127000000e+02	3.126753e-06	0.000000e+00
3.11903000000e+02	3.124368e-06	0.000000e+00
3.30753000000e+02	3.120975e-06	0.000000e+00
3.50742000000e+02	3.115404e-06	0.000000e+00
3.71940000000e+02	3.114658e-06	0.000000e+00
3.94419000000e+02	3.114426e-06	0.000000e+00
4.18256000000e+02	3.103877e-06	0.000000e+00
4.43534000000e+02	3.106312e-06	0.000000e+00
4.70339000000e+02	3.095365e-06	0.000000e+00
4.98765000000e+02	3.092761e-06	0.000000e+00
5.28908000000e+02	3.089171e-06	0.000000e+00
5.60873000000e+02	3.084152e-06	0.000000e+00
5.94770000000e+02	3.074075e-06	0.000000e+00
6.30716000000e+02	3.076049e-06	0.000000e+00
6.68834000000e+02	3.068228e-06	0.000000e+00
7.09256000000e+02	3.062955e-06	0.000000e+00
7.52121000000e+02	3.055076e-06	0.000000e+00
7.97576000000e+02	3.047027e-06	0.000000e+00
8.45778000000e+02	3.042370e-06	0.000000e+00
8.96894000000e+02	3.033619e-06	0.000000e+00
