4294A REV1.11
"DATE:     37 -100"


"MEASURE PARAMETER: IMPEDANCE - ADMITTANCE"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 201"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  10 mVolt"
"DC BIAS:  5 Volt CONSTANT"
"BW: 2"
"SWEEP AVERAGING: OFF"
"POINT AVERAGING: OFF"


"TRACE: A"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
4.00000000000e+01	3.312508e+01	-1.238315e+03
4.24170000000e+01	3.165986e+01	-1.168740e+03
4.49810000000e+01	3.081569e+01	-1.102825e+03
4.76990000000e+01	2.785344e+01	-1.040809e+03
5.05820000000e+01	2.637772e+01	-9.819949e+02
5.36390000000e+01	2.614950e+01	-9.262090e+02
5.68810000000e+01	2.408732e+01	-8.749965e+02
6.03190000000e+01	2.282257e+01	-8.254825e+02
6.39640000000e+01	2.193717e+01	-7.782393e+02
6.78300000000e+01	2.115647e+01	-7.349711e+02
7.19290000000e+01	2.003582e+01	-6.937258e+02
7.62760000000e+01	1.913805e+01	-6.547603e+02
8.08860000000e+01	1.866602e+01	-6.179407e+02
8.57750000000e+01	1.809394e+01	-5.833273e+02
9.09590000000e+01	1.678755e+01	-5.502167e+02
9.64560000000e+01	1.630575e+01	-5.198463e+02
1.02285000000e+02	1.553895e+01	-4.903071e+02
1.08467000000e+02	1.462343e+01	-4.626409e+02
1.15022000000e+02	1.429235e+01	-4.366483e+02
1.21974000000e+02	1.368704e+01	-4.120441e+02
1.29345000000e+02	1.297109e+01	-3.888989e+02
1.37163000000e+02	1.270405e+01	-3.676055e+02
1.45452000000e+02	1.210412e+01	-3.463028e+02
1.54243000000e+02	1.180428e+01	-3.271329e+02
1.63565000000e+02	1.154559e+01	-3.084520e+02
1.73450000000e+02	1.099135e+01	-2.913616e+02
1.83932000000e+02	1.045909e+01	-2.749476e+02
1.95049000000e+02	1.044262e+01	-2.593683e+02
2.06837000000e+02	9.950998e+00	-2.447782e+02
2.19337000000e+02	9.534203e+00	-2.314094e+02
2.32593000000e+02	9.259651e+00	-2.182408e+02
2.46650000000e+02	9.074791e+00	-2.059829e+02
2.61557000000e+02	8.964222e+00	-1.946167e+02
2.77364000000e+02	8.706940e+00	-1.837085e+02
2.94127000000e+02	8.394171e+00	-1.733839e+02
3.11903000000e+02	8.307673e+00	-1.636216e+02
3.30753000000e+02	7.951895e+00	-1.545684e+02
3.50742000000e+02	7.678579e+00	-1.458244e+02
3.71940000000e+02	7.783195e+00	-1.374809e+02
3.94419000000e+02	7.390780e+00	-1.299276e+02
4.18256000000e+02	7.419537e+00	-1.226416e+02
4.43534000000e+02	7.068148e+00	-1.159914e+02
4.70339000000e+02	7.012088e+00	-1.094620e+02
4.98765000000e+02	6.822960e+00	-1.033495e+02
5.28908000000e+02	6.607918e+00	-9.768491e+01
5.60873000000e+02	6.473950e+00	-9.215916e+01
5.94770000000e+02	6.478701e+00	-8.704524e+01
6.30716000000e+02	6.413752e+00	-8.215614e+01
6.68834000000e+02	6.212446e+00	-7.778110e+01
7.09256000000e+02	5.980761e+00	-7.343924e+01
7.52121000000e+02	5.851295e+00	-6.939030e+01
7.97576000000e+02	5.717705e+00	-6.552805e+01
8.45778000000e+02	5.649776e+00	-6.193790e+01
8.96894000000e+02	5.463162e+00	-5.850667e+01
9.51099000000e+02	5.540444e+00	-5.536007e+01
1.00858000000e+03	5.395484e+00	-5.225993e+01
1.06953400000e+03	5.272923e+00	-4.941489e+01
1.13417300000e+03	5.072171e+00	-4.669805e+01
1.20271800000e+03	4.948218e+00	-4.413957e+01
1.27540600000e+03	4.838622e+00	-4.185087e+01
1.35248700000e+03	4.735742e+00	-3.948767e+01
1.43422600000e+03	4.689967e+00	-3.732190e+01
1.52090500000e+03	4.513583e+00	-3.537928e+01
1.61282300000e+03	4.483501e+00	-3.349276e+01
1.71029600000e+03	4.410338e+00	-3.167992e+01
1.81365900000e+03	4.195449e+00	-2.989103e+01
1.92327000000e+03	4.219481e+00	-2.836843e+01
2.03950500000e+03	4.155183e+00	-2.681669e+01
2.16276500000e+03	4.016161e+00	-2.535098e+01
2.29347500000e+03	3.894881e+00	-2.410280e+01
2.43208400000e+03	3.842146e+00	-2.283830e+01
2.57907000000e+03	3.709175e+00	-2.160648e+01
2.73493900000e+03	3.596681e+00	-2.049651e+01
2.90022800000e+03	3.540973e+00	-1.935098e+01
3.07550700000e+03	3.459425e+00	-1.832506e+01
3.26137900000e+03	3.363462e+00	-1.740084e+01
3.45848400000e+03	3.262598e+00	-1.651331e+01
3.66750200000e+03	3.216257e+00	-1.556298e+01
3.88915200000e+03	3.163218e+00	-1.481501e+01
4.12419700000e+03	3.059412e+00	-1.401110e+01
4.37344800000e+03	2.998690e+00	-1.325880e+01
4.63776300000e+03	2.913046e+00	-1.255927e+01
4.91805200000e+03	2.848437e+00	-1.188340e+01
5.21528000000e+03	2.807857e+00	-1.128365e+01
5.53047200000e+03	2.701866e+00	-1.070597e+01
5.86471300000e+03	2.631473e+00	-1.013394e+01
6.21915400000e+03	2.583928e+00	-9.619320e+00
6.59501600000e+03	2.536483e+00	-9.113192e+00
6.99359400000e+03	2.470121e+00	-8.621840e+00
7.41626000000e+03	2.442043e+00	-8.182880e+00
7.86447100000e+03	2.372937e+00	-7.750668e+00
8.33976900000e+03	2.353963e+00	-7.339715e+00
8.84379400000e+03	2.300282e+00	-6.970212e+00
9.37827900000e+03	2.265547e+00	-6.596480e+00
9.94506700000e+03	2.211735e+00	-6.250229e+00
1.05461090000e+04	2.184472e+00	-5.931864e+00
1.11834760000e+04	2.118582e+00	-5.622879e+00
1.18593630000e+04	2.079625e+00	-5.316518e+00
1.25760980000e+04	2.063841e+00	-5.050367e+00
1.33361490000e+04	2.021709e+00	-4.780109e+00
1.41421360000e+04	1.989988e+00	-4.543491e+00
1.49968330000e+04	1.947994e+00	-4.290833e+00
1.59031850000e+04	1.937610e+00	-4.078187e+00
1.68643130000e+04	1.907290e+00	-3.853645e+00
1.78835280000e+04	1.886559e+00	-3.659718e+00
1.89643410000e+04	1.853011e+00	-3.452319e+00
2.01104740000e+04	1.840745e+00	-3.284033e+00
2.13258740000e+04	1.811195e+00	-3.124337e+00
