4294A REV1.11
"DATE:     37 -100"


"MEASURE PARAMETER: Cs - Rs"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 201"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  10 mVolt"
"DC BIAS:  5 Volt"
"BW: 2"
"SWEEP AVERAGING: OFF"
"POINT AVERAGING: OFF"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
4.00000000000e+01	2.631523e-06	0.000000e+00
4.24170000000e+01	2.632085e-06	0.000000e+00
4.49810000000e+01	2.627792e-06	0.000000e+00
4.76990000000e+01	2.629491e-06	0.000000e+00
5.05820000000e+01	2.626813e-06	0.000000e+00
5.36390000000e+01	2.623437e-06	0.000000e+00
5.68810000000e+01	2.622567e-06	0.000000e+00
6.03190000000e+01	2.619189e-06	0.000000e+00
6.39640000000e+01	2.620417e-06	0.000000e+00
6.78300000000e+01	2.614456e-06	0.000000e+00
7.19290000000e+01	2.613558e-06	0.000000e+00
7.62760000000e+01	2.611077e-06	0.000000e+00
8.08860000000e+01	2.608690e-06	0.000000e+00
8.57750000000e+01	2.608444e-06	0.000000e+00
9.09590000000e+01	2.607216e-06	0.000000e+00
9.64560000000e+01	2.603934e-06	0.000000e+00
1.02285000000e+02	2.600011e-06	0.000000e+00
1.08467000000e+02	2.599536e-06	0.000000e+00
1.15022000000e+02	2.598279e-06	0.000000e+00
1.21974000000e+02	2.595195e-06	0.000000e+00
1.29345000000e+02	2.593388e-06	0.000000e+00
1.37163000000e+02	2.591886e-06	0.000000e+00
1.45452000000e+02	2.591120e-06	0.000000e+00
1.54243000000e+02	2.586987e-06	0.000000e+00
1.63565000000e+02	2.585389e-06	0.000000e+00
1.73450000000e+02	2.582980e-06	0.000000e+00
1.83932000000e+02	2.581317e-06	0.000000e+00
1.95049000000e+02	2.580003e-06	0.000000e+00
2.06837000000e+02	2.576409e-06	0.000000e+00
2.19337000000e+02	2.573445e-06	0.000000e+00
2.32593000000e+02	2.572514e-06	0.000000e+00
2.46650000000e+02	2.570880e-06	0.000000e+00
2.61557000000e+02	2.567180e-06	0.000000e+00
2.77364000000e+02	2.567286e-06	0.000000e+00
2.94127000000e+02	2.563864e-06	0.000000e+00
3.11903000000e+02	2.563055e-06	0.000000e+00
3.30753000000e+02	2.560816e-06	0.000000e+00
3.50742000000e+02	2.555173e-06	0.000000e+00
3.71940000000e+02	2.553057e-06	0.000000e+00
3.94419000000e+02	2.552754e-06	0.000000e+00
4.18256000000e+02	2.548711e-06	0.000000e+00
4.43534000000e+02	2.549653e-06	0.000000e+00
4.70339000000e+02	2.543641e-06	0.000000e+00
4.98765000000e+02	2.539490e-06	0.000000e+00
5.28908000000e+02	2.541830e-06	0.000000e+00
5.60873000000e+02	2.534717e-06	0.000000e+00
5.94770000000e+02	2.535877e-06	0.000000e+00
