4294A REV1.11
"DATE:     37 -100"


"MEASURE PARAMETER: IMPEDANCE - ADMITTANCE"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 201"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  10 mVolt"
"DC BIAS:  5 Volt"
"BW: 2"
"SWEEP AVERAGING: OFF"
"POINT AVERAGING: OFF"


"TRACE: A"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
4.00000000000e+01	3.574558e+01	-1.511341e+03
4.24170000000e+01	3.418329e+01	-1.427370e+03
4.49810000000e+01	3.248757e+01	-1.345759e+03
4.76990000000e+01	3.114118e+01	-1.271159e+03
5.05820000000e+01	2.939138e+01	-1.198746e+03
5.36390000000e+01	2.675248e+01	-1.131526e+03
5.68810000000e+01	2.657848e+01	-1.068250e+03
6.03190000000e+01	2.479151e+01	-1.007560e+03
6.39640000000e+01	2.333818e+01	-9.518285e+02
6.78300000000e+01	2.209820e+01	-8.969797e+02
7.19290000000e+01	2.138349e+01	-8.472533e+02
7.62760000000e+01	2.044783e+01	-7.994460e+02
8.08860000000e+01	1.825876e+01	-7.543899e+02
8.57750000000e+01	1.787868e+01	-7.116052e+02
9.09590000000e+01	1.688517e+01	-6.719104e+02
9.64560000000e+01	1.670874e+01	-6.339150e+02
1.02285000000e+02	1.554049e+01	-5.982990e+02
1.08467000000e+02	1.497099e+01	-5.648091e+02
1.15022000000e+02	1.436351e+01	-5.329323e+02
1.21974000000e+02	1.338643e+01	-5.031474e+02
1.29345000000e+02	1.253721e+01	-4.746681e+02
1.37163000000e+02	1.186744e+01	-4.479149e+02
1.45452000000e+02	1.139241e+01	-4.228877e+02
1.54243000000e+02	1.125373e+01	-3.989653e+02
1.63565000000e+02	1.061566e+01	-3.766301e+02
1.73450000000e+02	9.624737e+00	-3.554635e+02
1.83932000000e+02	9.841438e+00	-3.352716e+02
1.95049000000e+02	9.430931e+00	-3.164706e+02
2.06837000000e+02	8.726234e+00	-2.987261e+02
2.19337000000e+02	8.422016e+00	-2.818168e+02
2.32593000000e+02	8.011528e+00	-2.659856e+02
2.46650000000e+02	7.858134e+00	-2.511994e+02
2.61557000000e+02	7.872652e+00	-2.372662e+02
2.77364000000e+02	7.183700e+00	-2.237841e+02
2.94127000000e+02	6.968502e+00	-2.110420e+02
