4294A REV1.11
"DATE:     38 -100"


"MEASURE PARAMETER: Cs - Rs"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 201"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  10 mVolt"
"DC BIAS:  5 Volt"
"BW: 2"
"SWEEP AVERAGING: OFF"
"POINT AVERAGING: OFF"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
4.00000000000e+01	2.419516e-06	0.000000e+00
4.24170000000e+01	2.417090e-06	0.000000e+00
4.49810000000e+01	2.415432e-06	0.000000e+00
4.76990000000e+01	2.411432e-06	0.000000e+00
5.05820000000e+01	2.410234e-06	0.000000e+00
5.36390000000e+01	2.409394e-06	0.000000e+00
5.68810000000e+01	2.406650e-06	0.000000e+00
6.03190000000e+01	2.406000e-06	0.000000e+00
6.39640000000e+01	2.400472e-06	0.000000e+00
6.78300000000e+01	2.401661e-06	0.000000e+00
7.19290000000e+01	2.398753e-06	0.000000e+00
7.62760000000e+01	2.397465e-06	0.000000e+00
8.08860000000e+01	2.394281e-06	0.000000e+00
8.57750000000e+01	2.394982e-06	0.000000e+00
9.09590000000e+01	2.390742e-06	0.000000e+00
9.64560000000e+01	2.391012e-06	0.000000e+00
1.02285000000e+02	2.387749e-06	0.000000e+00
1.08467000000e+02	2.386414e-06	0.000000e+00
1.15022000000e+02	2.384027e-06	0.000000e+00
1.21974000000e+02	2.382985e-06	0.000000e+00
1.29345000000e+02	2.379900e-06	0.000000e+00
1.37163000000e+02	2.377077e-06	0.000000e+00
1.45452000000e+02	2.375414e-06	0.000000e+00
1.54243000000e+02	2.373294e-06	0.000000e+00
1.63565000000e+02	2.370723e-06	0.000000e+00
1.73450000000e+02	2.367691e-06	0.000000e+00
1.83932000000e+02	2.366573e-06	0.000000e+00
1.95049000000e+02	2.365715e-06	0.000000e+00
2.06837000000e+02	2.366097e-06	0.000000e+00
2.19337000000e+02	2.362003e-06	0.000000e+00
2.32593000000e+02	2.361051e-06	0.000000e+00
2.46650000000e+02	2.356283e-06	0.000000e+00
2.61557000000e+02	2.355305e-06	0.000000e+00
2.77364000000e+02	2.354152e-06	0.000000e+00
2.94127000000e+02	2.353147e-06	0.000000e+00
3.11903000000e+02	2.349495e-06	0.000000e+00
3.30753000000e+02	2.347370e-06	0.000000e+00
3.50742000000e+02	2.345806e-06	0.000000e+00
3.71940000000e+02	2.341871e-06	0.000000e+00
3.94419000000e+02	2.339249e-06	0.000000e+00
4.18256000000e+02	2.339474e-06	0.000000e+00
4.43534000000e+02	2.337189e-06	0.000000e+00
4.70339000000e+02	2.338521e-06	0.000000e+00
4.98765000000e+02	2.331155e-06	0.000000e+00
5.28908000000e+02	2.332318e-06	0.000000e+00
5.60873000000e+02	2.327454e-06	0.000000e+00
5.94770000000e+02	2.326434e-06	0.000000e+00
6.30716000000e+02	2.326495e-06	0.000000e+00
6.68834000000e+02	2.319320e-06	0.000000e+00
7.09256000000e+02	2.316788e-06	0.000000e+00
7.52121000000e+02	2.314147e-06	0.000000e+00
7.97576000000e+02	2.311091e-06	0.000000e+00
8.45778000000e+02	2.306276e-06	0.000000e+00
8.96894000000e+02	2.307701e-06	0.000000e+00
9.51099000000e+02	2.301917e-06	0.000000e+00
1.00858000000e+03	2.300293e-06	0.000000e+00
1.06953400000e+03	2.300419e-06	0.000000e+00
1.13417300000e+03	2.298516e-06	0.000000e+00
1.20271800000e+03	2.298905e-06	0.000000e+00
1.27540600000e+03	2.291659e-06	0.000000e+00
1.35248700000e+03	2.284418e-06	0.000000e+00
1.43422600000e+03	2.283662e-06	0.000000e+00
1.52090500000e+03	2.279966e-06	0.000000e+00
1.61282300000e+03	2.273248e-06	0.000000e+00
1.71029600000e+03	2.270837e-06	0.000000e+00
1.81365900000e+03	2.266418e-06	0.000000e+00
1.92327000000e+03	2.264721e-06	0.000000e+00
2.03950500000e+03	2.264276e-06	0.000000e+00
2.16276500000e+03	2.258229e-06	0.000000e+00
2.29347500000e+03	2.256638e-06	0.000000e+00
2.43208400000e+03	2.249825e-06	0.000000e+00
2.57907000000e+03	2.237015e-06	0.000000e+00
2.73493900000e+03	2.243141e-06	0.000000e+00
2.90022800000e+03	2.233463e-06	0.000000e+00
3.07550700000e+03	2.228619e-06	0.000000e+00
3.26137900000e+03	2.222920e-06	0.000000e+00
3.45848400000e+03	2.219849e-06	0.000000e+00
3.66750200000e+03	2.215962e-06	0.000000e+00
3.88915200000e+03	2.210656e-06	0.000000e+00
4.12419700000e+03	2.207582e-06	0.000000e+00
4.37344800000e+03	2.207963e-06	0.000000e+00
4.63776300000e+03	2.197971e-06	0.000000e+00
4.91805200000e+03	2.201417e-06	0.000000e+00
5.21528000000e+03	2.179984e-06	0.000000e+00
5.53047200000e+03	2.173251e-06	0.000000e+00
5.86471300000e+03	2.175336e-06	0.000000e+00
6.21915400000e+03	2.169513e-06	0.000000e+00
6.59501600000e+03	2.161053e-06	0.000000e+00
6.99359400000e+03	2.154533e-06	0.000000e+00
7.41626000000e+03	2.156086e-06	0.000000e+00
7.86447100000e+03	2.147096e-06	0.000000e+00
8.33976900000e+03	2.134908e-06	0.000000e+00
8.84379400000e+03	2.136873e-06	0.000000e+00
9.37827900000e+03	2.127778e-06	0.000000e+00
9.94506700000e+03	2.115283e-06	0.000000e+00
1.05461090000e+04	2.129461e-06	0.000000e+00
1.11834760000e+04	2.110681e-06	0.000000e+00
1.18593630000e+04	2.106289e-06	0.000000e+00
1.25760980000e+04	2.105354e-06	0.000000e+00
1.33361490000e+04	2.101380e-06	0.000000e+00
1.41421360000e+04	2.091835e-06	0.000000e+00
1.49968330000e+04	2.096397e-06	0.000000e+00
1.59031850000e+04	2.083017e-06	0.000000e+00
1.68643130000e+04	2.077234e-06	0.000000e+00
1.78835280000e+04	2.077497e-06	0.000000e+00
1.89643410000e+04	2.072295e-06	0.000000e+00
2.01104740000e+04	2.064490e-06	0.000000e+00
2.13258740000e+04	2.059903e-06	0.000000e+00
2.26147300000e+04	2.058561e-06	0.000000e+00
2.39814780000e+04	2.047669e-06	0.000000e+00
2.54308280000e+04	2.047199e-06	0.000000e+00
