4294A REV1.11
"DATE:     38 -100"


"MEASURE PARAMETER: IMPEDANCE - ADMITTANCE"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 201"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  10 mVolt"
"DC BIAS:  5 Volt"
"BW: 2"
"SWEEP AVERAGING: OFF"
"POINT AVERAGING: OFF"


"TRACE: A"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
4.00000000000e+01	4.735472e+01	-1.644679e+03
4.24170000000e+01	4.482159e+01	-1.552212e+03
4.49810000000e+01	4.116954e+01	-1.464973e+03
4.76990000000e+01	3.940297e+01	-1.384165e+03
5.05820000000e+01	3.613081e+01	-1.305421e+03
5.36390000000e+01	3.212311e+01	-1.232773e+03
5.68810000000e+01	3.265337e+01	-1.162935e+03
6.03190000000e+01	2.982088e+01	-1.098014e+03
6.39640000000e+01	2.816503e+01	-1.035521e+03
6.78300000000e+01	2.550055e+01	-9.780505e+02
7.19290000000e+01	2.407420e+01	-9.223833e+02
7.62760000000e+01	2.302174e+01	-8.711042e+02
8.08860000000e+01	2.181613e+01	-8.213949e+02
8.57750000000e+01	2.077449e+01	-7.758876e+02
9.09590000000e+01	1.946072e+01	-7.322472e+02
9.64560000000e+01	1.841219e+01	-6.909545e+02
1.02285000000e+02	1.729852e+01	-6.521454e+02
1.08467000000e+02	1.633372e+01	-6.152821e+02
1.15022000000e+02	1.533214e+01	-5.806223e+02
1.21974000000e+02	1.490881e+01	-5.478247e+02
1.29345000000e+02	1.377031e+01	-5.170474e+02
1.37163000000e+02	1.330204e+01	-4.885511e+02
1.45452000000e+02	1.244539e+01	-4.606407e+02
1.54243000000e+02	1.177647e+01	-4.348267e+02
1.63565000000e+02	1.156471e+01	-4.101417e+02
1.73450000000e+02	1.050847e+01	-3.869322e+02
1.83932000000e+02	1.027872e+01	-3.650381e+02
1.95049000000e+02	9.783495e+00	-3.447729e+02
2.06837000000e+02	9.307747e+00	-3.251234e+02
2.19337000000e+02	8.682480e+00	-3.070248e+02
2.32593000000e+02	8.672028e+00	-2.895044e+02
2.46650000000e+02	8.448166e+00	-2.737095e+02
2.61557000000e+02	7.681845e+00	-2.584018e+02
2.77364000000e+02	7.435612e+00	-2.436371e+02
2.94127000000e+02	7.145493e+00	-2.299862e+02
3.11903000000e+02	6.781467e+00	-2.171983e+02
3.30753000000e+02	6.942149e+00	-2.050211e+02
