4294A REV1.11
"DATE:     38 -100"


"MEASURE PARAMETER: Cs - Rs"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 201"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  10 mVolt"
"DC BIAS:  5 Volt"
"BW: 2"
"SWEEP AVERAGING: OFF"
"POINT AVERAGING: OFF"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
4.00000000000e+01	1.232260e-06	0.000000e+00
4.24170000000e+01	1.230332e-06	0.000000e+00
4.49810000000e+01	1.227310e-06	0.000000e+00
4.76990000000e+01	1.225162e-06	0.000000e+00
5.05820000000e+01	1.221555e-06	0.000000e+00
5.36390000000e+01	1.217274e-06	0.000000e+00
5.68810000000e+01	1.215444e-06	0.000000e+00
6.03190000000e+01	1.210386e-06	0.000000e+00
6.39640000000e+01	1.206884e-06	0.000000e+00
6.78300000000e+01	1.201493e-06	0.000000e+00
7.19290000000e+01	1.197198e-06	0.000000e+00
7.62760000000e+01	1.192240e-06	0.000000e+00
8.08860000000e+01	1.187327e-06	0.000000e+00
8.57750000000e+01	1.182198e-06	0.000000e+00
9.09590000000e+01	1.175340e-06	0.000000e+00
9.64560000000e+01	1.169628e-06	0.000000e+00
1.02285000000e+02	1.164269e-06	0.000000e+00
1.08467000000e+02	1.157487e-06	0.000000e+00
1.15022000000e+02	1.150802e-06	0.000000e+00
1.21974000000e+02	1.144708e-06	0.000000e+00
1.29345000000e+02	1.136935e-06	0.000000e+00
1.37163000000e+02	1.130128e-06	0.000000e+00
1.45452000000e+02	1.121493e-06	0.000000e+00
1.54243000000e+02	1.113998e-06	0.000000e+00
1.63565000000e+02	1.104545e-06	0.000000e+00
1.73450000000e+02	1.097988e-06	0.000000e+00
1.83932000000e+02	1.089253e-06	0.000000e+00
1.95049000000e+02	1.080671e-06	0.000000e+00
2.06837000000e+02	1.070285e-06	0.000000e+00
2.19337000000e+02	1.061726e-06	0.000000e+00
2.32593000000e+02	1.052183e-06	0.000000e+00
2.46650000000e+02	1.042748e-06	0.000000e+00
2.61557000000e+02	1.033064e-06	0.000000e+00
2.77364000000e+02	1.022525e-06	0.000000e+00
2.94127000000e+02	1.012544e-06	0.000000e+00
3.11903000000e+02	1.002228e-06	0.000000e+00
3.30753000000e+02	9.897750e-07	0.000000e+00
3.50742000000e+02	9.796408e-07	0.000000e+00
3.71940000000e+02	9.696282e-07	0.000000e+00
3.94419000000e+02	9.588381e-07	0.000000e+00
4.18256000000e+02	9.453104e-07	0.000000e+00
4.43534000000e+02	9.334598e-07	0.000000e+00
4.70339000000e+02	9.217549e-07	0.000000e+00
4.98765000000e+02	9.074493e-07	0.000000e+00
5.28908000000e+02	8.961386e-07	0.000000e+00
5.60873000000e+02	8.843028e-07	0.000000e+00
5.94770000000e+02	8.708761e-07	0.000000e+00
6.30716000000e+02	8.575541e-07	0.000000e+00
6.68834000000e+02	8.437830e-07	0.000000e+00
7.09256000000e+02	8.282813e-07	0.000000e+00
7.52121000000e+02	8.160416e-07	0.000000e+00
7.97576000000e+02	8.019215e-07	0.000000e+00
8.45778000000e+02	7.857994e-07	0.000000e+00
8.96894000000e+02	7.720495e-07	0.000000e+00
9.51099000000e+02	7.570369e-07	0.000000e+00
1.00858000000e+03	7.404025e-07	0.000000e+00
1.06953400000e+03	7.268092e-07	0.000000e+00
1.13417300000e+03	7.107874e-07	0.000000e+00
1.20271800000e+03	6.967087e-07	0.000000e+00
1.27540600000e+03	6.813347e-07	0.000000e+00
1.35248700000e+03	6.653220e-07	0.000000e+00
1.43422600000e+03	6.503756e-07	0.000000e+00
1.52090500000e+03	6.345410e-07	0.000000e+00
1.61282300000e+03	6.213098e-07	0.000000e+00
1.71029600000e+03	6.030859e-07	0.000000e+00
1.81365900000e+03	5.893019e-07	0.000000e+00
1.92327000000e+03	5.740519e-07	0.000000e+00
2.03950500000e+03	5.600926e-07	0.000000e+00
2.16276500000e+03	5.452371e-07	0.000000e+00
2.29347500000e+03	5.311190e-07	0.000000e+00
2.43208400000e+03	5.174153e-07	0.000000e+00
2.57907000000e+03	5.026105e-07	0.000000e+00
2.73493900000e+03	4.899123e-07	0.000000e+00
2.90022800000e+03	4.773038e-07	0.000000e+00
3.07550700000e+03	4.627626e-07	0.000000e+00
3.26137900000e+03	4.484833e-07	0.000000e+00
3.45848400000e+03	4.369822e-07	0.000000e+00
3.66750200000e+03	4.236449e-07	0.000000e+00
3.88915200000e+03	4.146010e-07	0.000000e+00
4.12419700000e+03	4.010926e-07	0.000000e+00
4.37344800000e+03	3.893168e-07	0.000000e+00
4.63776300000e+03	3.781378e-07	0.000000e+00
4.91805200000e+03	3.675191e-07	0.000000e+00
5.21528000000e+03	3.574184e-07	0.000000e+00
5.53047200000e+03	3.463700e-07	0.000000e+00
5.86471300000e+03	3.391532e-07	0.000000e+00
