4294A REV1.11
"DATE:     38 -100"


"MEASURE PARAMETER: IMPEDANCE - ADMITTANCE"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 201"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  10 mVolt"
"DC BIAS:  5 Volt"
"BW: 2"
"SWEEP AVERAGING: OFF"
"POINT AVERAGING: OFF"


"TRACE: A"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
4.00000000000e+01	4.113360e+02	-3.206123e+03
4.24170000000e+01	3.829459e+02	-3.038769e+03
4.49810000000e+01	3.958354e+02	-2.856548e+03
4.76990000000e+01	3.707207e+02	-2.744466e+03
5.05820000000e+01	3.635648e+02	-2.607006e+03
5.36390000000e+01	3.676761e+02	-2.395313e+03
5.68810000000e+01	3.739645e+02	-2.339183e+03
6.03190000000e+01	3.911484e+02	-2.206751e+03
6.39640000000e+01	3.513695e+02	-2.066624e+03
6.78300000000e+01	3.891021e+02	-1.947458e+03
7.19290000000e+01	3.725049e+02	-1.834008e+03
7.62760000000e+01	3.726943e+02	-1.745875e+03
8.08860000000e+01	3.616362e+02	-1.658001e+03
8.57750000000e+01	3.596100e+02	-1.565967e+03
9.09590000000e+01	3.479349e+02	-1.480785e+03
9.64560000000e+01	3.404321e+02	-1.407071e+03
1.02285000000e+02	3.400186e+02	-1.335439e+03
1.08467000000e+02	3.328718e+02	-1.266835e+03
1.15022000000e+02	3.284614e+02	-1.201644e+03
1.21974000000e+02	3.206915e+02	-1.138998e+03
1.29345000000e+02	3.190703e+02	-1.080235e+03
1.37163000000e+02	3.139946e+02	-1.027539e+03
1.45452000000e+02	3.082479e+02	-9.723068e+02
1.54243000000e+02	3.025779e+02	-9.250946e+02
1.63565000000e+02	2.974104e+02	-8.781090e+02
1.73450000000e+02	2.943632e+02	-8.351584e+02
1.83932000000e+02	2.886960e+02	-7.938594e+02
1.95049000000e+02	2.846138e+02	-7.548351e+02
2.06837000000e+02	2.789939e+02	-7.173192e+02
2.19337000000e+02	2.758002e+02	-6.822990e+02
2.32593000000e+02	2.706244e+02	-6.487291e+02
2.46650000000e+02	2.674122e+02	-6.184603e+02
2.61557000000e+02	2.622480e+02	-5.886049e+02
2.77364000000e+02	2.572719e+02	-5.606119e+02
2.94127000000e+02	2.534840e+02	-5.333750e+02
3.11903000000e+02	2.479460e+02	-5.080859e+02
3.30753000000e+02	2.439080e+02	-4.843769e+02
3.50742000000e+02	2.390882e+02	-4.617498e+02
3.71940000000e+02	2.350667e+02	-4.411550e+02
3.94419000000e+02	2.314336e+02	-4.210194e+02
4.18256000000e+02	2.276133e+02	-4.018818e+02
4.43534000000e+02	2.234238e+02	-3.836101e+02
4.70339000000e+02	2.193194e+02	-3.667516e+02
4.98765000000e+02	2.156383e+02	-3.515303e+02
5.28908000000e+02	2.118686e+02	-3.360449e+02
5.60873000000e+02	2.081565e+02	-3.213284e+02
5.94770000000e+02	2.053951e+02	-3.082936e+02
6.30716000000e+02	2.013606e+02	-2.947179e+02
6.68834000000e+02	1.971765e+02	-2.823630e+02
7.09256000000e+02	1.938554e+02	-2.704196e+02
7.52121000000e+02	1.906180e+02	-2.601652e+02
7.97576000000e+02	1.861987e+02	-2.498031e+02
8.45778000000e+02	1.830801e+02	-2.401466e+02
8.96894000000e+02	1.800432e+02	-2.299163e+02
9.51099000000e+02	1.773758e+02	-2.214230e+02
1.00858000000e+03	1.732807e+02	-2.124358e+02
1.06953400000e+03	1.709423e+02	-2.052852e+02
1.13417300000e+03	1.671302e+02	-1.983528e+02
1.20271800000e+03	1.637003e+02	-1.901309e+02
1.27540600000e+03	1.607806e+02	-1.832439e+02
1.35248700000e+03	1.571851e+02	-1.774603e+02
1.43422600000e+03	1.541608e+02	-1.708548e+02
1.52090500000e+03	1.512389e+02	-1.654096e+02
1.61282300000e+03	1.477756e+02	-1.598612e+02
1.71029600000e+03	1.447646e+02	-1.542803e+02
1.81365900000e+03	1.422790e+02	-1.495883e+02
1.92327000000e+03	1.386623e+02	-1.446155e+02
2.03950500000e+03	1.359817e+02	-1.400603e+02
2.16276500000e+03	1.328841e+02	-1.355382e+02
2.29347500000e+03	1.297231e+02	-1.307241e+02
2.43208400000e+03	1.264864e+02	-1.267108e+02
2.57907000000e+03	1.234436e+02	-1.234913e+02
2.73493900000e+03	1.213129e+02	-1.196257e+02
2.90022800000e+03	1.178659e+02	-1.160384e+02
3.07550700000e+03	1.150600e+02	-1.123117e+02
3.26137900000e+03	1.120637e+02	-1.090793e+02
3.45848400000e+03	1.094883e+02	-1.058375e+02
3.66750200000e+03	1.075457e+02	-1.029720e+02
3.88915200000e+03	1.046739e+02	-9.904178e+01
4.12419700000e+03	1.023759e+02	-9.628163e+01
4.37344800000e+03	9.969472e+01	-9.347192e+01
4.63776300000e+03	9.674385e+01	-9.065445e+01
4.91805200000e+03	9.412439e+01	-8.805664e+01
5.21528000000e+03	9.186673e+01	-8.548105e+01
5.53047200000e+03	8.951785e+01	-8.300105e+01
5.86471300000e+03	8.739488e+01	-8.017871e+01
6.21915400000e+03	8.494572e+01	-7.786377e+01
6.59501600000e+03	8.268805e+01	-7.548755e+01
6.99359400000e+03	8.118689e+01	-7.352150e+01
7.41626000000e+03	7.878809e+01	-7.122968e+01
7.86447100000e+03	7.657320e+01	-6.897092e+01
8.33976900000e+03	7.501846e+01	-6.675848e+01
8.84379400000e+03	7.259186e+01	-6.476514e+01
9.37827900000e+03	7.090883e+01	-6.272667e+01
9.94506700000e+03	6.952988e+01	-6.074300e+01
1.05461090000e+04	6.740968e+01	-5.867214e+01
1.11834760000e+04	6.564066e+01	-5.686619e+01
1.18593630000e+04	6.406790e+01	-5.488740e+01
1.25760980000e+04	6.257046e+01	-5.327377e+01
1.33361490000e+04	6.098869e+01	-5.141902e+01
1.41421360000e+04	5.946097e+01	-4.962870e+01
1.49968330000e+04	5.819185e+01	-4.797410e+01
1.59031850000e+04	5.672554e+01	-4.652625e+01
1.68643130000e+04	5.565444e+01	-4.460939e+01
1.78835280000e+04	5.423127e+01	-4.330463e+01
1.89643410000e+04	5.290102e+01	-4.180454e+01
2.01104740000e+04	5.216818e+01	-4.030313e+01
2.13258740000e+04	5.077137e+01	-3.881509e+01
2.26147300000e+04	4.990529e+01	-3.749982e+01
2.39814780000e+04	4.893661e+01	-3.606659e+01
2.54308280000e+04	4.777231e+01	-3.475658e+01
2.69677710000e+04	4.687104e+01	-3.358649e+01
2.85976010000e+04	4.589264e+01	-3.227499e+01
3.03259310000e+04	4.503626e+01	-3.110311e+01
3.21587160000e+04	4.439352e+01	-2.995506e+01
3.41022670000e+04	4.358033e+01	-2.856747e+01
3.61632790000e+04	4.276001e+01	-2.754323e+01
3.83488500000e+04	4.221415e+01	-2.647010e+01
