4294A REV1.11
"DATE:     37 -100"


"MEASURE PARAMETER: Cs - Rs"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 201"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  10 mVolt"
"DC BIAS:  5 Volt"
"BW: 2"
"SWEEP AVERAGING: OFF"
"POINT AVERAGING: OFF"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
4.00000000000e+01	2.402151e-06	0.000000e+00
4.24170000000e+01	2.400344e-06	0.000000e+00
4.49810000000e+01	2.398165e-06	0.000000e+00
4.76990000000e+01	2.397828e-06	0.000000e+00
5.05820000000e+01	2.396391e-06	0.000000e+00
5.36390000000e+01	2.392622e-06	0.000000e+00
5.68810000000e+01	2.393920e-06	0.000000e+00
6.03190000000e+01	2.391873e-06	0.000000e+00
6.39640000000e+01	2.387415e-06	0.000000e+00
6.78300000000e+01	2.387255e-06	0.000000e+00
7.19290000000e+01	2.385105e-06	0.000000e+00
7.62760000000e+01	2.383282e-06	0.000000e+00
8.08860000000e+01	2.381311e-06	0.000000e+00
8.57750000000e+01	2.380305e-06	0.000000e+00
9.09590000000e+01	2.375983e-06	0.000000e+00
9.64560000000e+01	2.376956e-06	0.000000e+00
1.02285000000e+02	2.375711e-06	0.000000e+00
1.08467000000e+02	2.372915e-06	0.000000e+00
1.15022000000e+02	2.371412e-06	0.000000e+00
1.21974000000e+02	2.370716e-06	0.000000e+00
1.29345000000e+02	2.367484e-06	0.000000e+00
1.37163000000e+02	2.367191e-06	0.000000e+00
1.45452000000e+02	2.364320e-06	0.000000e+00
1.54243000000e+02	2.361919e-06	0.000000e+00
1.63565000000e+02	2.361892e-06	0.000000e+00
1.73450000000e+02	2.357955e-06	0.000000e+00
1.83932000000e+02	2.356994e-06	0.000000e+00
1.95049000000e+02	2.355819e-06	0.000000e+00
2.06837000000e+02	2.355610e-06	0.000000e+00
2.19337000000e+02	2.350928e-06	0.000000e+00
2.32593000000e+02	2.348827e-06	0.000000e+00
2.46650000000e+02	2.350734e-06	0.000000e+00
2.61557000000e+02	2.345846e-06	0.000000e+00
2.77364000000e+02	2.344209e-06	0.000000e+00
2.94127000000e+02	2.342311e-06	0.000000e+00
3.11903000000e+02	2.343071e-06	0.000000e+00
3.30753000000e+02	2.339329e-06	0.000000e+00
3.50742000000e+02	2.335260e-06	0.000000e+00
3.71940000000e+02	2.332600e-06	0.000000e+00
3.94419000000e+02	2.330056e-06	0.000000e+00
4.18256000000e+02	2.330689e-06	0.000000e+00
4.43534000000e+02	2.331082e-06	0.000000e+00
4.70339000000e+02	2.326648e-06	0.000000e+00
4.98765000000e+02	2.325341e-06	0.000000e+00
5.28908000000e+02	2.323473e-06	0.000000e+00
5.60873000000e+02	2.320187e-06	0.000000e+00
5.94770000000e+02	2.315545e-06	0.000000e+00
6.30716000000e+02	2.315289e-06	0.000000e+00
6.68834000000e+02	2.314677e-06	0.000000e+00
7.09256000000e+02	2.312473e-06	0.000000e+00
7.52121000000e+02	2.310771e-06	0.000000e+00
7.97576000000e+02	2.308342e-06	0.000000e+00
8.45778000000e+02	2.304720e-06	0.000000e+00
8.96894000000e+02	2.295269e-06	0.000000e+00
9.51099000000e+02	2.299218e-06	0.000000e+00
1.00858000000e+03	2.297180e-06	0.000000e+00
1.06953400000e+03	2.294105e-06	0.000000e+00
1.13417300000e+03	2.289351e-06	0.000000e+00
1.20271800000e+03	2.288328e-06	0.000000e+00
1.27540600000e+03	2.284829e-06	0.000000e+00
1.35248700000e+03	2.278722e-06	0.000000e+00
1.43422600000e+03	2.275120e-06	0.000000e+00
1.52090500000e+03	2.271518e-06	0.000000e+00
1.61282300000e+03	2.269551e-06	0.000000e+00
1.71029600000e+03	2.261499e-06	0.000000e+00
1.81365900000e+03	2.262737e-06	0.000000e+00
1.92327000000e+03	2.262872e-06	0.000000e+00
2.03950500000e+03	2.249313e-06	0.000000e+00
2.16276500000e+03	2.249184e-06	0.000000e+00
2.29347500000e+03	2.243659e-06	0.000000e+00
2.43208400000e+03	2.241456e-06	0.000000e+00
2.57907000000e+03	2.237908e-06	0.000000e+00
2.73493900000e+03	2.230424e-06	0.000000e+00
2.90022800000e+03	2.228274e-06	0.000000e+00
3.07550700000e+03	2.222027e-06	0.000000e+00
3.26137900000e+03	2.222660e-06	0.000000e+00
3.45848400000e+03	2.214740e-06	0.000000e+00
3.66750200000e+03	2.207448e-06	0.000000e+00
