4294A REV1.11
"DATE:     37 -100"


"MEASURE PARAMETER: Cs - Rs"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 201"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  10 mVolt"
"DC BIAS:  5 Volt"
"BW: 2"
"SWEEP AVERAGING: OFF"
"POINT AVERAGING: OFF"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
4.00000000000e+01	3.050736e-06	0.000000e+00
4.24170000000e+01	3.051550e-06	0.000000e+00
4.49810000000e+01	3.044579e-06	0.000000e+00
4.76990000000e+01	3.045267e-06	0.000000e+00
5.05820000000e+01	3.042527e-06	0.000000e+00
5.36390000000e+01	3.039124e-06	0.000000e+00
5.68810000000e+01	3.036404e-06	0.000000e+00
6.03190000000e+01	3.036418e-06	0.000000e+00
6.39640000000e+01	3.037981e-06	0.000000e+00
6.78300000000e+01	3.030081e-06	0.000000e+00
7.19290000000e+01	3.028301e-06	0.000000e+00
7.62760000000e+01	3.025797e-06	0.000000e+00
8.08860000000e+01	3.025230e-06	0.000000e+00
8.57750000000e+01	3.021069e-06	0.000000e+00
9.09590000000e+01	3.019356e-06	0.000000e+00
9.64560000000e+01	3.016540e-06	0.000000e+00
1.02285000000e+02	3.014836e-06	0.000000e+00
1.08467000000e+02	3.012978e-06	0.000000e+00
1.15022000000e+02	3.008051e-06	0.000000e+00
1.21974000000e+02	3.007153e-06	0.000000e+00
1.29345000000e+02	3.006263e-06	0.000000e+00
1.37163000000e+02	3.002609e-06	0.000000e+00
1.45452000000e+02	3.003310e-06	0.000000e+00
1.54243000000e+02	2.998895e-06	0.000000e+00
1.63565000000e+02	2.996626e-06	0.000000e+00
1.73450000000e+02	2.995205e-06	0.000000e+00
1.83932000000e+02	2.991848e-06	0.000000e+00
1.95049000000e+02	2.991542e-06	0.000000e+00
2.06837000000e+02	2.987363e-06	0.000000e+00
2.19337000000e+02	2.984277e-06	0.000000e+00
2.32593000000e+02	2.981597e-06	0.000000e+00
2.46650000000e+02	2.976769e-06	0.000000e+00
