4294A REV1.11
"DATE:     37 -100"


"MEASURE PARAMETER: IMPEDANCE - ADMITTANCE"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 201"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  10 mVolt"
"DC BIAS:  5 Volt"
"BW: 2"
"SWEEP AVERAGING: OFF"
"POINT AVERAGING: OFF"


"TRACE: A"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
4.00000000000e+01	3.168618e+01	-1.302343e+03
4.24170000000e+01	3.056962e+01	-1.231803e+03
4.49810000000e+01	2.914479e+01	-1.161441e+03
4.76990000000e+01	2.727198e+01	-1.097121e+03
5.05820000000e+01	2.586881e+01	-1.034576e+03
5.36390000000e+01	2.401245e+01	-9.757744e+02
5.68810000000e+01	2.369587e+01	-9.219335e+02
6.03190000000e+01	2.221639e+01	-8.695957e+02
6.39640000000e+01	2.079742e+01	-8.211123e+02
6.78300000000e+01	1.993491e+01	-7.736669e+02
7.19290000000e+01	1.956713e+01	-7.304941e+02
7.62760000000e+01	1.810641e+01	-6.896288e+02
8.08860000000e+01	1.737923e+01	-6.514530e+02
8.57750000000e+01	1.669382e+01	-6.142389e+02
9.09590000000e+01	1.573321e+01	-5.794252e+02
9.64560000000e+01	1.515010e+01	-5.471761e+02
1.02285000000e+02	1.442502e+01	-5.164584e+02
1.08467000000e+02	1.354262e+01	-4.870096e+02
1.15022000000e+02	1.340955e+01	-4.597682e+02
1.21974000000e+02	1.277792e+01	-4.340143e+02
1.29345000000e+02	1.207474e+01	-4.091725e+02
1.37163000000e+02	1.171246e+01	-3.866303e+02
1.45452000000e+02	1.129755e+01	-3.647621e+02
1.54243000000e+02	1.090677e+01	-3.440792e+02
1.63565000000e+02	1.064054e+01	-3.248425e+02
1.73450000000e+02	1.038073e+01	-3.067567e+02
1.83932000000e+02	9.854113e+00	-2.892969e+02
1.95049000000e+02	9.570383e+00	-2.731185e+02
2.06837000000e+02	9.426609e+00	-2.576973e+02
2.19337000000e+02	8.624954e+00	-2.428092e+02
2.32593000000e+02	8.567560e+00	-2.294535e+02
2.46650000000e+02	8.403656e+00	-2.167393e+02
2.61557000000e+02	7.797232e+00	-2.044940e+02
2.77364000000e+02	7.644658e+00	-1.931013e+02
2.94127000000e+02	7.584005e+00	-1.822576e+02
3.11903000000e+02	7.450002e+00	-1.720496e+02
3.30753000000e+02	7.178411e+00	-1.624769e+02
3.50742000000e+02	6.876310e+00	-1.532413e+02
3.71940000000e+02	6.751552e+00	-1.445829e+02
3.94419000000e+02	6.599141e+00	-1.365757e+02
4.18256000000e+02	6.443810e+00	-1.288672e+02
4.43534000000e+02	6.450026e+00	-1.217998e+02
4.70339000000e+02	6.067575e+00	-1.147663e+02
4.98765000000e+02	5.883120e+00	-1.084253e+02
5.28908000000e+02	5.863992e+00	-1.024249e+02
5.60873000000e+02	5.750017e+00	-9.676872e+01
5.94770000000e+02	5.562603e+00	-9.125169e+01
6.30716000000e+02	5.427709e+00	-8.617610e+01
6.68834000000e+02	5.321074e+00	-8.126648e+01
7.09256000000e+02	5.318520e+00	-7.680074e+01
7.52121000000e+02	5.121031e+00	-7.262485e+01
7.97576000000e+02	5.006579e+00	-6.859061e+01
8.45778000000e+02	4.942822e+00	-6.478036e+01
8.96894000000e+02	4.772936e+00	-6.121460e+01
9.51099000000e+02	4.742609e+00	-5.783988e+01
1.00858000000e+03	4.577819e+00	-5.457978e+01
1.06953400000e+03	4.524713e+00	-5.158750e+01
1.13417300000e+03	4.373355e+00	-4.879530e+01
1.20271800000e+03	4.237227e+00	-4.618374e+01
1.27540600000e+03	4.237542e+00	-4.359990e+01
1.35248700000e+03	4.111738e+00	-4.119602e+01
1.43422600000e+03	4.117153e+00	-3.889657e+01
1.52090500000e+03	4.011662e+00	-3.676949e+01
1.61282300000e+03	3.935713e+00	-3.478175e+01
1.71029600000e+03	3.847771e+00	-3.290521e+01
1.81365900000e+03	3.744955e+00	-3.108884e+01
1.92327000000e+03	3.678603e+00	-2.945120e+01
2.03950500000e+03	3.662921e+00	-2.788272e+01
2.16276500000e+03	3.606864e+00	-2.635601e+01
2.29347500000e+03	3.465708e+00	-2.492838e+01
2.43208400000e+03	3.426434e+00	-2.361074e+01
2.57907000000e+03	3.302350e+00	-2.230358e+01
2.73493900000e+03	3.226958e+00	-2.111126e+01
2.90022800000e+03	3.170488e+00	-1.998657e+01
3.07550700000e+03	3.112427e+00	-1.893556e+01
3.26137900000e+03	3.043777e+00	-1.796056e+01
3.45848400000e+03	2.940277e+00	-1.695236e+01
3.66750200000e+03	2.828624e+00	-1.608096e+01
3.88915200000e+03	2.810044e+00	-1.522189e+01
4.12419700000e+03	2.733039e+00	-1.442729e+01
4.37344800000e+03	2.651438e+00	-1.367382e+01
4.63776300000e+03	2.649852e+00	-1.294354e+01
4.91805200000e+03	2.547456e+00	-1.227609e+01
5.21528000000e+03	2.495050e+00	-1.160713e+01
5.53047200000e+03	2.454582e+00	-1.100750e+01
5.86471300000e+03	2.421009e+00	-1.045297e+01
6.21915400000e+03	2.327143e+00	-9.878466e+00
6.59501600000e+03	2.265839e+00	-9.352106e+00
6.99359400000e+03	2.262960e+00	-8.860027e+00
7.41626000000e+03	2.188774e+00	-8.396194e+00
7.86447100000e+03	2.115688e+00	-7.958138e+00
8.33976900000e+03	2.093685e+00	-7.537710e+00
8.84379400000e+03	2.025112e+00	-7.133101e+00
9.37827900000e+03	1.990174e+00	-6.748639e+00
9.94506700000e+03	1.955628e+00	-6.410323e+00
1.05461090000e+04	1.917511e+00	-6.041701e+00
1.11834760000e+04	1.895836e+00	-5.748631e+00
1.18593630000e+04	1.849446e+00	-5.456994e+00
1.25760980000e+04	1.826341e+00	-5.156824e+00
1.33361490000e+04	1.795507e+00	-4.890412e+00
1.41421360000e+04	1.754431e+00	-4.629964e+00
1.49968330000e+04	1.734480e+00	-4.372650e+00
1.59031850000e+04	1.695592e+00	-4.142941e+00
1.68643130000e+04	1.677569e+00	-3.925594e+00
1.78835280000e+04	1.662586e+00	-3.720700e+00
1.89643410000e+04	1.641391e+00	-3.528828e+00
2.01104740000e+04	1.614661e+00	-3.342678e+00
2.13258740000e+04	1.587926e+00	-3.169907e+00
2.26147300000e+04	1.576629e+00	-3.008970e+00
2.39814780000e+04	1.556881e+00	-2.845678e+00
2.54308280000e+04	1.541802e+00	-2.688804e+00
2.69677710000e+04	1.519248e+00	-2.545974e+00
2.85976010000e+04	1.502625e+00	-2.411478e+00
3.03259310000e+04	1.496604e+00	-2.278426e+00
3.21587160000e+04	1.477648e+00	-2.153913e+00
3.41022670000e+04	1.464471e+00	-2.039177e+00
3.61632790000e+04	1.446164e+00	-1.935983e+00
3.83488500000e+04	1.439357e+00	-1.832418e+00
4.06665100000e+04	1.429038e+00	-1.730401e+00
4.31242390000e+04	1.415868e+00	-1.645193e+00
4.57305050000e+04	1.404360e+00	-1.555598e+00
4.84942840000e+04	1.395180e+00	-1.469397e+00
5.14250950000e+04	1.389004e+00	-1.393581e+00
5.45330330000e+04	1.382355e+00	-1.312083e+00
5.78288030000e+04	1.374387e+00	-1.245469e+00
6.13237560000e+04	1.363606e+00	-1.175611e+00
6.50299320000e+04	1.361389e+00	-1.118895e+00
6.89600950000e+04	1.350719e+00	-1.056196e+00
7.31277820000e+04	1.345298e+00	-9.986131e-01
7.75473480000e+04	1.340942e+00	-9.424233e-01
8.22340160000e+04	1.333840e+00	-8.885701e-01
8.72039280000e+04	1.328476e+00	-8.438437e-01
9.24742040000e+04	1.327496e+00	-7.970221e-01
9.80629940000e+04	1.322474e+00	-7.530975e-01
1.03989550000e+05	1.319014e+00	-7.134436e-01
1.10274285000e+05	1.314964e+00	-6.725944e-01
1.16938845000e+05	1.310480e+00	-6.374410e-01
1.24006186000e+05	1.306814e+00	-6.005542e-01
1.31500650000e+05	1.305233e+00	-5.697361e-01
1.39448052000e+05	1.301102e+00	-5.410298e-01
1.47875764000e+05	1.299436e+00	-5.077939e-01
1.56812815000e+05	1.293424e+00	-4.835298e-01
1.66289987000e+05	1.289461e+00	-4.542612e-01
1.76339925000e+05	1.290861e+00	-4.279692e-01
1.86997242000e+05	1.285177e+00	-4.038828e-01
1.98298647000e+05	1.283585e+00	-3.810470e-01
2.10283066000e+05	1.279993e+00	-3.595301e-01
2.22991778000e+05	1.280052e+00	-3.387155e-01
2.36468557000e+05	1.279114e+00	-3.171999e-01
2.50759821000e+05	1.272285e+00	-2.968046e-01
2.65914795000e+05	1.272565e+00	-2.797084e-01
2.81985678000e+05	1.269377e+00	-2.624534e-01
2.99027824000e+05	1.270368e+00	-2.429126e-01
3.17099934000e+05	1.267987e+00	-2.308227e-01
3.36264253000e+05	1.265741e+00	-2.196309e-01
3.56586791000e+05	1.263235e+00	-2.009691e-01
3.78137546000e+05	1.260226e+00	-1.845317e-01
4.00990747000e+05	1.260076e+00	-1.764498e-01
4.25225109000e+05	1.261060e+00	-1.604305e-01
4.50924105000e+05	1.258394e+00	-1.499922e-01
4.78176250000e+05	1.257466e+00	-1.333210e-01
5.07075412000e+05	1.257402e+00	-1.208428e-01
5.37721129000e+05	1.253435e+00	-1.143199e-01
5.70218958000e+05	1.252968e+00	-1.009258e-01
6.04680832000e+05	1.260768e+00	-9.008721e-02
6.41225452000e+05	1.253814e+00	-8.451337e-02
6.79978689000e+05	1.255749e+00	-7.175805e-02
7.21074026000e+05	1.251679e+00	-6.064722e-02
7.64653010000e+05	1.252074e+00	-5.019857e-02
8.10865742000e+05	1.245434e+00	-3.756766e-02
8.59871396000e+05	1.249033e+00	-2.803904e-02
9.11838767000e+05	1.249851e+00	-1.630750e-02
9.66946849000e+05	1.249080e+00	-9.370513e-03
1.02538545500e+06	1.246543e+00	-2.392857e-03
1.08735586800e+06	1.243286e+00	1.404028e-02
1.15307153900e+06	1.250280e+00	2.620205e-02
1.22275881600e+06	1.247910e+00	2.601219e-02
1.29665772800e+06	1.249445e+00	4.544667e-02
1.37502281100e+06	1.247184e+00	4.952675e-02
1.45812398200e+06	1.247390e+00	6.644997e-02
1.54624747400e+06	1.255191e+00	7.473078e-02
1.63969681500e+06	1.250011e+00	8.509819e-02
1.73879388100e+06	1.253809e+00	9.133101e-02
1.84387999800e+06	1.252182e+00	1.076758e-01
1.95531712200e+06	1.255720e+00	1.155854e-01
2.07348908400e+06	1.257456e+00	1.288587e-01
2.19880291200e+06	1.261353e+00	1.402735e-01
2.33169023300e+06	1.262251e+00	1.571265e-01
2.47260876000e+06	1.262182e+00	1.716222e-01
2.62204387000e+06	1.265336e+00	1.808097e-01
2.78051027100e+06	1.263937e+00	1.929324e-01
2.94855378200e+06	1.265451e+00	2.084550e-01
3.12675320600e+06	1.270744e+00	2.243561e-01
3.31572232800e+06	1.269924e+00	2.405785e-01
3.51611202900e+06	1.273187e+00	2.596899e-01
3.72861252400e+06	1.275026e+00	2.746930e-01
3.95395574500e+06	1.278704e+00	2.936351e-01
4.19291785600e+06	1.281819e+00	3.119798e-01
4.44632193200e+06	1.282829e+00	3.329865e-01
4.71504079100e+06	1.288456e+00	3.527502e-01
5.00000000000e+06	1.291296e+00	3.709010e-01


"TRACE: B"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
4.00000000000e+01	1.867077e-05	7.673926e-04
4.24170000000e+01	2.013445e-05	8.113182e-04
4.49810000000e+01	2.159203e-05	8.604578e-04
4.76990000000e+01	2.264327e-05	9.109133e-04
5.05820000000e+01	2.415351e-05	9.659756e-04
5.36390000000e+01	2.520431e-05	1.024207e-03
5.68810000000e+01	2.786036e-05	1.083961e-03
