4294A REV1.11
"DATE:     37 -100"


"MEASURE PARAMETER: Cs - Rs"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 201"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  10 mVolt"
"DC BIAS:  5 Volt CONSTANT"
"BW: 2"
"SWEEP AVERAGING: OFF"
"POINT AVERAGING: OFF"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
4.00000000000e+01	2.508885e-06	0.000000e+00
4.24170000000e+01	2.508000e-06	0.000000e+00
4.49810000000e+01	2.505240e-06	0.000000e+00
4.76990000000e+01	2.504009e-06	0.000000e+00
5.05820000000e+01	2.500649e-06	0.000000e+00
5.36390000000e+01	2.498205e-06	0.000000e+00
5.68810000000e+01	2.498818e-06	0.000000e+00
6.03190000000e+01	2.493998e-06	0.000000e+00
6.39640000000e+01	2.492879e-06	0.000000e+00
6.78300000000e+01	2.488513e-06	0.000000e+00
7.19290000000e+01	2.488931e-06	0.000000e+00
7.62760000000e+01	2.483712e-06	0.000000e+00
8.08860000000e+01	2.485176e-06	0.000000e+00
8.57750000000e+01	2.481428e-06	0.000000e+00
9.09590000000e+01	2.480773e-06	0.000000e+00
9.64560000000e+01	2.477505e-06	0.000000e+00
1.02285000000e+02	2.475833e-06	0.000000e+00
1.08467000000e+02	2.472885e-06	0.000000e+00
1.15022000000e+02	2.471452e-06	0.000000e+00
1.21974000000e+02	2.470255e-06	0.000000e+00
1.29345000000e+02	2.463422e-06	0.000000e+00
1.37163000000e+02	2.464632e-06	0.000000e+00
1.45452000000e+02	2.463698e-06	0.000000e+00
1.54243000000e+02	2.460207e-06	0.000000e+00
1.63565000000e+02	2.458785e-06	0.000000e+00
1.73450000000e+02	2.457245e-06	0.000000e+00
1.83932000000e+02	2.451356e-06	0.000000e+00
1.95049000000e+02	2.450450e-06	0.000000e+00
2.06837000000e+02	2.448930e-06	0.000000e+00
2.19337000000e+02	2.449693e-06	0.000000e+00
2.32593000000e+02	2.446914e-06	0.000000e+00
2.46650000000e+02	2.446788e-06	0.000000e+00
2.61557000000e+02	2.439672e-06	0.000000e+00
2.77364000000e+02	2.437649e-06	0.000000e+00
2.94127000000e+02	2.435985e-06	0.000000e+00
3.11903000000e+02	2.432416e-06	0.000000e+00
3.30753000000e+02	2.428426e-06	0.000000e+00
3.50742000000e+02	2.430304e-06	0.000000e+00
3.71940000000e+02	2.426547e-06	0.000000e+00
3.94419000000e+02	2.421107e-06	0.000000e+00
4.18256000000e+02	2.418259e-06	0.000000e+00
4.43534000000e+02	2.415811e-06	0.000000e+00
4.70339000000e+02	2.412464e-06	0.000000e+00
4.98765000000e+02	2.410866e-06	0.000000e+00
5.28908000000e+02	2.410194e-06	0.000000e+00
5.60873000000e+02	2.405263e-06	0.000000e+00
5.94770000000e+02	2.403436e-06	0.000000e+00
6.30716000000e+02	2.399738e-06	0.000000e+00
6.68834000000e+02	2.399265e-06	0.000000e+00
7.09256000000e+02	2.392842e-06	0.000000e+00
7.52121000000e+02	2.392004e-06	0.000000e+00
7.97576000000e+02	2.387676e-06	0.000000e+00
8.45778000000e+02	2.381843e-06	0.000000e+00
8.96894000000e+02	2.381317e-06	0.000000e+00
9.51099000000e+02	2.377379e-06	0.000000e+00
1.00858000000e+03	2.373873e-06	0.000000e+00
1.06953400000e+03	2.369807e-06	0.000000e+00
1.13417300000e+03	2.365954e-06	0.000000e+00
1.20271800000e+03	2.364966e-06	0.000000e+00
1.27540600000e+03	2.361410e-06	0.000000e+00
1.35248700000e+03	2.355047e-06	0.000000e+00
1.43422600000e+03	2.351007e-06	0.000000e+00
1.52090500000e+03	2.345673e-06	0.000000e+00
1.61282300000e+03	2.344620e-06	0.000000e+00
1.71029600000e+03	2.338369e-06	0.000000e+00
1.81365900000e+03	2.330873e-06	0.000000e+00
1.92327000000e+03	2.329418e-06	0.000000e+00
2.03950500000e+03	2.324164e-06	0.000000e+00
2.16276500000e+03	2.321050e-06	0.000000e+00
2.29347500000e+03	2.307008e-06	0.000000e+00
2.43208400000e+03	2.303588e-06	0.000000e+00
2.57907000000e+03	2.301693e-06	0.000000e+00
2.73493900000e+03	2.293389e-06	0.000000e+00
2.90022800000e+03	2.281978e-06	0.000000e+00
3.07550700000e+03	2.281894e-06	0.000000e+00
3.26137900000e+03	2.280367e-06	0.000000e+00
3.45848400000e+03	2.270684e-06	0.000000e+00
3.66750200000e+03	2.267995e-06	0.000000e+00
3.88915200000e+03	2.260515e-06	0.000000e+00
4.12419700000e+03	2.255034e-06	0.000000e+00
4.37344800000e+03	2.253789e-06	0.000000e+00
4.63776300000e+03	2.244210e-06	0.000000e+00
4.91805200000e+03	2.248089e-06	0.000000e+00
5.21528000000e+03	2.238306e-06	0.000000e+00
5.53047200000e+03	2.225378e-06	0.000000e+00
5.86471300000e+03	2.223415e-06	0.000000e+00
6.21915400000e+03	2.218915e-06	0.000000e+00
6.59501600000e+03	2.207655e-06	0.000000e+00
6.99359400000e+03	2.201286e-06	0.000000e+00
7.41626000000e+03	2.196081e-06	0.000000e+00
7.86447100000e+03	2.192485e-06	0.000000e+00
8.33976900000e+03	2.186240e-06	0.000000e+00
8.84379400000e+03	2.180548e-06	0.000000e+00
9.37827900000e+03	2.172273e-06	0.000000e+00
9.94506700000e+03	2.172589e-06	0.000000e+00
1.05461090000e+04	2.157819e-06	0.000000e+00
1.11834760000e+04	2.164528e-06	0.000000e+00
1.18593630000e+04	2.165024e-06	0.000000e+00
1.25760980000e+04	2.144744e-06	0.000000e+00
1.33361490000e+04	2.147607e-06	0.000000e+00
1.41421360000e+04	2.136088e-06	0.000000e+00
1.49968330000e+04	2.126963e-06	0.000000e+00
1.59031850000e+04	2.130327e-06	0.000000e+00
1.68643130000e+04	2.118672e-06	0.000000e+00
1.78835280000e+04	2.116367e-06	0.000000e+00
